STT3A-AS1
RGS6
RPL10
CNNM2
BDNF
SACS
SCN1A
SCN1B
SCN2A
SCN8A
SEMA3A
SLC12A2
SLC1A1
SLC1A2
SLC1A3
SLC2A1
SLC3A1
SLC6A1
SNRPN
SPAG1
SPARCL1
SRPK2
BTN2A1
BTN2A2
BTN3A1
BTN3A2
SYNGAP1
SYT2
TCF20
TEK
TF
GIGYF2
TNXB
TSC1
TSC2
TXNRD1
C2
UBE3A
VDAC1
VDAC2
VDR
VEGFA
TRPV1
VRK2
TRIM26
ZSCAN9
ZNF711
KDM3B
CTCF
SLC4A10
SLC12A5
CNTNAP2
ZKSCAN3
CACNA1C
TSBP1
CACNA1H
CACNA1I
OR5V1
CACNB2
CSMD1
CACNB4
HDAC4
HDAC9
ZSCAN31
EHMT2
CERS1
AUTS2
PCDH19
NLGN4X
NLGN3
SHANK2
MRTFA
SRR
PARD3B
DEAF1
PPP1R13B
CASK
SNAP91
CASR
ADNP
MACROD2
TRIM31
TRIM33
MRM2
EFHC1
ZMIZ1
RAB39B
STAMBP
PRICKLE1
SYNE1
PSORS1C1
CPA6
WAC
PRPF3
AS3MT
TDP2
MPP6
SFTA2
STX1B
KCNT1
NALCN
KANK1
CHRM2
CHRM3
CHRNA2
CHRNA3
CHRNA4
CHRNA5
CHRNB2
CHD8
CLCN2
CLCN3
PRICKLE2
COA8
L2HGDH
SLC9A9
FBXW12
CLN6
ADGRL3
NHLRC1
MUCL3
ZNF804A
CNTN2
NAALADL2
ADGRE3
ADCY9
ADD3
ZNF615
GLT8D1
DRAXIN
RAB40AL
PALB2
ZNF385D
MAIP1
CYP2D7
CYP2D6
CAMKMT
PTCHD1
TSNARE1
UNC80
DDR1
CCDC174
ADRA2B
FRMPD4
DLG3
TBC1D24
GRAMD1B
ZSWIM6
KIF21B
HECW2
TENM4
STRADA
PREPL
HBEGF
LINC00243
AFG3L2
EIF4E
SNORC
EPHX2
EPM2A
CLEC17A
F2
FGF2
FGFR1
FHIT
FLNA
FOLR1
FOS
FOXP1
TRIM31-AS1
ALB
ABCB1
GABRA1
GABRB3
GABRD
GABRG2
ALDH1A3
GAD1
TMX2-CTNND1
MSH5-SAPCD1
GDF1
GFAP
MIR137HG
LINC00558
ZBED3-AS1
GOSR2
LINC00907
GPX1
GRIK1
GRIN2A
GRIN2B
GRM1
GRM3
GRM4
GRM5
HCN1
HFE
MEF2C-AS1
BORCS7-ASMT
HSPE1-MOB4
HLA-A
HLA-B
HLA-DMB
ANK3
HLA-DQA1
HLA-DQA2
HLA-DQB1
C2-AS1
HLA-DRB1
HLA-DRB5
HLA-DRB6
LINC01239
KCNMA1-AS1
LINC02551
LINC02571
MICB-DT
IL1RAPL1
ITIH3
KCNAB2
KCNH1
KCNQ2
KCNQ3
KDR
KIF5C
LTC4S
MAD1L1
MAOA
RHOJ
MDK
MECP2
MEF2C
KMT2A
MMP16
MMP8
MPHOSPH9
MSH5
ASAH1
MT-CO3
NEU1
NEURL1
NGEF
NGF
NOTCH4
NRGN
NT5C2
NTF3
NTRK3
OPHN1
ATP2B2
OPRD1
OPRM1
P2RX4
P2RX7
FURIN
PBX2
ATRX
PHB
PIGA
PIGN
PNKP
POLG
POMC
PPM1B
PPP2R2B
PRKG1
PRNP
PLPBP
SLC33A1
TWF2
PTPRD
PURA
BCHE
RELN
RERE
