PARP1
PARP4
APEX1
FEN1
HMGB1
LIG1
LIG3
MPG
MUTYH
NTHL1
OGG1
PCNA
POLB
POLD1
POLD2
POLE
POLE2
TDG
UNG
XRCC1
MBD4
PARP2
PARP3
CCNO
POLD3
SMUG1
APEX2
POLL
POLE3
NEIL3
POLE4
POLD4
NEIL1
NEIL2
HMGB1P40
MSH6
LIG1
MLH1
MSH2
MSH3
PCNA
PMS2
POLD1
POLD2
RFC1
RFC2
RFC3
RFC4
RFC5
RPA1
RPA2
RPA3
SSBP1
EXO1
POLD3
MLH3
RPA4
POLD4
ATM
BLM
BRCA2
MRE11A
NBN
POLD1
POLD2
RAD51
RAD51C
RAD51B
RAD51D
RAD52
RPA1
RPA2
RPA3
SSBP1
TOP3A
XRCC2
XRCC3
SHFM1
RAD54L
TOP3B
RAD50
POLD3
RAD54B
RPA4
POLD4
MUS81
EME1
DNTT
FEN1
XRCC6
LIG4
MRE11A
PRKDC
XRCC4
XRCC5
RAD50
POLL
POLM
TDP1
DCLRE1C
NHEJ1
