ADCY1
ADCY2
ADCY3
ADCY5
ADCY6
ADCY7
ADCY8
ADCY9
AKT1
AKT2
ARAF
BRAF
BUB1
CCNA2
CCNB1
CDK1
CDC25A
CDC25B
CDC25C
CDC27
CDK2
MAPK14
GNAI1
GNAI2
GNAI3
HSP90AA1
HSP90AB1
IGF1
IGF1R
INS
KRAS
MAD2L1
MOS
PDE3A
PDE3B
PGR
PIK3CA
PIK3CB
PIK3CD
PIK3CG
PIK3R1
PIK3R2
PLK1
PRKACA
PRKACB
PRKACG
MAPK1
MAPK3
MAPK8
MAPK11
MAPK9
MAPK10
MAPK13
MAP2K1
PRKX
RAF1
RPS6KA1
RPS6KA2
RPS6KA3
MAPK12
MAD1L1
PIK3R3
CDC23
CDC16
CCNA1
PKMYT1
CCNB2
AKT3
ANAPC10
MAD2L2
PIK3R5
ANAPC13
RPS6KA6
ANAPC2
ANAPC4
FZR1
ANAPC5
ANAPC7
ANAPC11
CPEB1
ANAPC1
CCNB3
ADCY4
SPDYA
CDC26
SPDYC
