ADD1
AKT1
AKT2
APAF1
APC
BIRC2
BIRC3
XIAP
BIRC5
FAS
FASLG
ATM
BAD
BAK1
BAX
BCL2
BCL2L1
BCL2L2
BID
BMX
BNIP3L
BOK
CAPN1
CAPN2
CASP1
CASP2
CASP3
CASP4
CASP6
CASP7
CASP8
CASP9
CASP10
CDH1
CDKN2A
CHUK
CSF2RB
CTNNB1
DAPK1
DAPK3
DCC
DFFA
DFFB
DSG1
DSG2
DSG3
DSP
E2F1
ENDOG
FNTA
GAS2
GSN
GZMB
H1F0
HIST1H1C
HIST1H1D
HIST1H1E
HIST1H1B
HIST1H1A
HELLS
HMGB1
HMGB2
IGF1
IGF1R
IGF2
IKBKB
IL1A
IL1B
IL1R1
IL1RAP
IL3
IL3RA
IRAK1
IRAK2
IRF1
IRF2
IRF3
IRF4
IRF5
IRF6
IRF7
JUN
KPNA1
KPNB1
LMNA
LMNB1
LTA
MAPT
MCL1
MDM2
MAP3K1
MYC
MYD88
NFKB1
NFKBIA
NFKBIB
NFKBIE
NGF
NMT1
NTRK1
PAK2
PIK3CA
PIK3CB
PIK3CD
PIK3CG
PIK3R1
PIK3R2
PKP1
PLEC
PMAIP1
PPP3CA
PPP3CB
PPP3CC
PPP3R1
PPP3R2
PRF1
PRKACA
PRKACB
PRKACG
PRKAR1A
PRKAR1B
PRKAR2A
PRKAR2B
PRKCD
PRKCQ
MAPK8
MAPK10
PRKX
PSMA1
PSMA2
PSMA3
PSMA4
PSMA5
PSMA6
PSMA7
PSMB1
PSMB2
PSMB3
PSMB4
PSMB5
PSMB6
PSMB7
PSMB8
PSMB9
PSMB10
PSMC1
PSMC2
PSMC3
PSMC4
PSMC5
PSMC6
PSMD1
PSMD2
PSMD3
PSMD4
PSMD5
PSMD7
PSMD8
PSMD9
PSMD10
PSMD11
PSMD12
PSMD13
PSME1
PSME2
PTK2
RELA
ROCK1
RPS27A
SATB1
MAP2K4
SPTAN1
TFDP1
TJP1
TNF
TNFRSF1A
TNFRSF1B
TP53
TP73
TRAF1
TRAF2
TRAF3
UBA52
UBB
UBC
VIM
YWHAB
STK24
PIK3R3
IKBKG
TP63
DYNLL1
TRADD
TNFRSF25
RIPK1
CRADD
HRK
TNFSF10
FADD
TNFRSF10D
TNFRSF10C
TNFRSF10B
TNFRSF10A
CFLAR
MAP3K14
AIFM1
TJP2
PSMF1
MAGED1
PSMD6
EXOG
AKT3
BCL2L11
DNM1L
BCAP31
PSME3
PSMD14
IRAK3
CHP1
ACIN1
ENDOD1
PSME4
PIK3R5
DAPK2
APPL1
BBC3
TNFRSF21
DBNL
IRAK4
STK26
CYCS
DIABLO
CHP2
CLSPN
ARHGAP10
UNC5A
BMF
PSMB11
DYNLL2
PSMA8
UNC5B
OCLN
