ATM
ATR
BRCA1
BRCA2
FANCA
FANCC
FANCD2
FANCE
FANCB
FANCF
FANCG
RPS27A
UBA52
UBB
UBC
USP1
ZBTB32
UBE2T
FANCL
FANCI
FANCM
PALB2
