ABL1
BIRC5
ARF1
ATM
ATR
CCND1
BRCA1
BUB1
BUB1B
CCNA2
CCNB1
CCND2
CCND3
CCNE1
CCNH
CDK1
CDK11B
CDC6
CDC20
CDC25A
CDC25B
CDC25C
CDC27
CDH1
CDK2
CDK4
CDK6
CDK7
CDKN1A
CDKN1B
CDKN1C
CDKN2A
CDKN2B
CDKN2C
CDKN2D
CENPA
CENPC
CENPE
CENPF
CETN2
CHEK1
CKS1B
CREBBP
CSNK1D
CSNK1E
DCTN1
GADD45A
DHFR
DKC1
DNA2
DYNC1H1
DYNC1I2
DYRK1A
E2F1
E2F2
E2F3
E2F4
E2F5
E2F6
EP300
FEN1
CENPI
SFN
GSK3B
HIST1H2AD
H2AFX
H2AFZ
HIST1H2BD
HIST1H2BB
HDAC1
HDAC2
HSPA2
HSP90AA1
HUS1
INCENP
KIF2A
LIG1
LMNA
LMNB1
MAD2L1
SMAD2
SMAD3
SMAD4
MAX
MCM2
MCM3
MCM4
MCM5
MCM6
MCM7
MDM2
MEN1
KITLG
MNAT1
MYBL2
MYC
GADD45B
NEK2
NPM1
NUMA1
NUP98
ODF2
ORC1
ORC2
ORC4
ORC5
PAFAH1B1
PCM1
PCNA
PCNT
PLK1
POLA1
POLD1
POLD2
POLE
POLE2
PPP1CC
PPP2CA
PPP2CB
PPP2R1A
PPP2R1B
PPP2R2A
PPP2R5A
PPP2R5B
PPP2R5C
PPP2R5D
PPP2R5E
PRIM1
PRIM2
PRKACA
PRKAR2B
PRKDC
PSMA1
PSMA2
PSMA3
PSMA4
PSMA5
PSMA6
PSMA7
PSMB1
PSMB2
PSMB3
PSMB4
PSMB5
PSMB6
PSMB7
PSMB8
PSMB9
PSMB10
PSMC1
PSMC2
PSMC3
PSMC4
PSMC5
PSMC6
PSMD1
PSMD2
PSMD3
PSMD4
PSMD5
PSMD7
PSMD8
PSMD9
PSMD10
PSMD11
PSMD12
PSMD13
PSME1
PSME2
RAD1
RAD9A
RAD17
RAD21
RANBP2
RANGAP1
RB1
RBBP4
RBBP7
RBL1
RBL2
RFC1
RFC2
RFC3
RFC4
RFC5
RPA1
RPA2
RPA3
RPS27
RPS27A
RRM2
CLIP1
SEC13
SKP1
SKP2
AURKA
SYCP1
TERF1
TERF2
TERT
TFDP1
TFDP2
TGFB1
TGFB2
TGFB3
TK2
TOP2A
TP53
TTK
TUBA4A
TUBG1
TYMS
UBA52
UBB
UBC
UBE2D1
UBE2E1
UBE2I
WEE1
XPO1
YWHAB
YWHAE
YWHAG
YWHAH
YWHAZ
ZBTB17
ALMS1
TUBA1A
SMC1A
HIST3H3
CDC7
CDC45
HIST1H2AJ
HIST1H2AC
HIST1H2AB
HIST2H2AA3
HIST2H2AC
HIST1H2BL
HIST1H2BN
HIST1H2BM
HIST1H2BH
HIST1H2BC
HIST1H2BO
HIST2H2BE
HIST1H4A
MAD1L1
CUL1
SMARCA5
FKBP6
OFD1
CDC14B
CDC14A
RUVBL1
SSNA1
DYNLL1
CDC23
HDAC3
CDC16
CCNA1
BTRC
HIST1H2BJ
PKMYT1
SMC3
CCNB2
CCNE2
ZW10
BUB3
AURKB
PTTG1
PSMF1
KIF23
CEP135
ESPL1
CEP57
KNTC1
CCP110
HDAC4
CKAP5
SFI1
GINS1
PSMD6
RBX1
REC8
HDAC6
HDAC5
KIF20A
ACTR1A
AKAP9
PSME3
PSMD14
STAG1
TUBB4A
TUBB4B
SYCP2
ANAPC10
NDC80
TUBGCP3
MAD2L2
DCTN2
POLD3
NUDC
PLK4
STAG3
STAG2
PTTG2
SDCCAG8
TUBGCP2
RUVBL2
GADD45G
DBF4
YWHAQ
KIF2C
CNTRL
UBE2C
DIDO1
FGFR1OP
ZWINT
TBC1D8
CEP250
CHEK2
PMF1
DCTN3
OIP5
CEP164
MAPRE1
NINL
CEP131
CEP152
CLASP2
PSME4
SYNE2
NUP160
CLASP1
SYNE1
ITGB3BP
ORC6
ORC3
POLA2
ANAPC13
AHCTF1
POT1
NSL1
FBXO5
TINF2
SMC1B
TUBG2
TUBGCP4
PPP2R3B
ANAPC2
RPA4
ANAPC4
SYCP3
GMNN
FZR1
ANAPC5
ANAPC7
ANAPC11
HDAC7
GINS2
RSF1
MIS18A
H2BFS
TERF2IP
NDE1
ERCC6L
SPDL1
ZWILCH
CEP192
WRAP53
HAUS2
CDCA8
CENPQ
MIS18BP1
HJURP
MCM10
NHP2
CEP72
NUP133
CDK5RAP2
CENPJ
CENPN
HDAC8
RCC2
LIN37
TEX12
CASC5
NUP107
SPC25
TAOK1
POLD4
CLSPN
CENPK
RFWD2
ANAPC1
GORASP1
CENPH
ACD
MIS12
CENPM
NUP37
CENPO
CENPU
NUP85
CEP76
DSN1
CENPT
CEP290
CEP63
CEP70
B9D2
NDEL1
CDT1
SEH1L
KIF18A
NUF2
ATRIP
CEP78
GINS4
MCM8
KIF2B
HIST1H2BK
TUBGCP6
CCNB3
CENPL
LIN52
SYCE1
CEP41
TUBGCP5
NEDD1
PSMB11
HIST3H2BB
LIN54
PSMA8
RAD9B
SPC24
SGOL2
SGOL1
TUBB
MPEG1
SKA1
CDC26
MCM9
HIST1H2BA
SYCE2
LIN9
SKA2
NUP43
APITD1
CENPP
H2AFB1
WEE2
SKP1P2
CDK11A
