BIRC5
BUB1
BUB1B
CCNA2
CDC6
CDC20
CDK2
CDKN1A
CDKN1B
CENPA
CENPC
CENPE
CENPF
DNA2
E2F1
E2F2
E2F3
FEN1
CENPI
INCENP
KIF2A
LIG1
MAD2L1
MCM2
MCM3
MCM4
MCM5
MCM6
MCM7
NUP98
ORC1
ORC2
ORC4
ORC5
PAFAH1B1
PCNA
PLK1
POLA1
POLD1
POLD2
POLE
POLE2
PPP1CC
PPP2CA
PPP2CB
PPP2R1A
PPP2R1B
PPP2R5A
PPP2R5B
PPP2R5C
PPP2R5D
PPP2R5E
PRIM1
PRIM2
PSMA1
PSMA2
PSMA3
PSMA4
PSMA5
PSMA6
PSMA7
PSMB1
PSMB2
PSMB3
PSMB4
PSMB5
PSMB6
PSMB7
PSMB8
PSMB9
PSMB10
PSMC1
PSMC2
PSMC3
PSMC4
PSMC5
PSMC6
PSMD1
PSMD2
PSMD3
PSMD4
PSMD5
PSMD7
PSMD8
PSMD9
PSMD10
PSMD11
PSMD12
PSMD13
PSME1
PSME2
RAD21
RANBP2
RANGAP1
RB1
RFC1
RFC2
RFC3
RFC4
RFC5
RPA1
RPA2
RPA3
RPS27
RPS27A
CLIP1
SEC13
SSBP1
UBA52
UBB
UBC
XPO1
SMC1A
CDC7
CDC45
MAD1L1
CCNA1
SMC3
ZW10
BUB3
AURKB
PSMF1
KIF23
KNTC1
CKAP5
GINS1
PSMD6
KIF20A
PSME3
PSMD14
STAG1
NDC80
RNASEH2A
POLD3
NUDC
STAG2
DBF4
KIF2C
ZWINT
PMF1
MAPRE1
CLASP2
PSME4
NUP160
CLASP1
ITGB3BP
ORC6
ORC3
POLA2
AHCTF1
NSL1
FBXO5
RPA4
GMNN
FZR1
GINS2
POLE3
NDE1
ERCC6L
SPDL1
ZWILCH
CDCA8
CENPQ
MCM10
NUP133
CENPN
RCC2
POLE4
CASC5
NUP107
SPC25
TAOK1
POLD4
CENPK
GORASP1
CENPH
MIS12
CENPM
NUP37
CENPO
RNASEH2B
CENPU
NUP85
DSN1
CENPT
B9D2
NDEL1
CDT1
SEH1L
KIF18A
NUF2
RNASEH2C
GINS4
MCM8
KIF2B
CENPL
PSMB11
PSMA8
SPC24
SGOL2
SGOL1
SKA1
RNASEH1
SKA2
NUP43
APITD1
CENPP
