hgnc_symbol,HH07,HH17,HH18,HH19,HH27
GPR162,125,267,286,138,205
GPR17,142,359,82,70,39
GPR171,0,0,0,6,4
GPR173,448,524,318,435,480
GPR174,2,2,2,0,0
GPR176,14841,7868,10497,8690,8730
GPR176-DT,6,0,0,4,8
GPR179,4,4,0,0,2
GPR18,0,2,0,0,16
GPR180,1690,1841,1774,1462,1997
GPR182,0,2,2,0,0
GPR183,14,0,2,10,70
GPR19,48,2,14,12,10
GPR20,0,0,0,0,0
GPR21,0,0,0,0,0
GPR22,2,4,0,0,4
GPR25,0,0,0,0,0
GPR26,0,5,0,3,2
GPR27,0,5,6,0,16
GPR3,136,44,50,34,88
GPR31,0,0,0,0,0
GPR32,0,0,0,0,0
GPR32P1,0,0,0,0,0
GPR33,0,0,0,0,0
GPR34,0,0,2,6,0
GPR35,28,15,21,6,32
GPR37,2,33,0,0,0
GPR37L1,6,6,2,6,2
GPR39,12,44,42,8,68
GPR4,173,24,0,10,2
GPR42,0,0,0,0,0
GPR45,0,2,2,0,0
GPR50,0,0,0,0,0
GPR50-AS1,0,0,0,0,0
GPR52,0,0,0,0,2
GPR53P,0,0,0,0,0
GPR55,18,0,0,0,0
GPR6,0,0,0,0,0
GPR61,11,4,8,11,0
GPR62,2,5,4,0,0
GPR63,32,22,40,7,86
GPR65,7,38,64,10,130
GPR68,1045,653,494,1156,484
GPR75,118,78,61,58,106
GPR78,0,49,13,25,7
GPR79,6,0,6,2,0
GPR82,0,4,4,0,0
GPR83,14,6,0,2,0
GPR84,0,4,0,0,0
GPR85,217,262,260,149,410
GPR87,4,0,0,2,0
GPR88,0,0,4,2,4
GPR89A,823,449,491,489,556
GPR89B,294,267,296,271,241
GPR89P,0,0,0,1,4
GPRACR,0,0,0,2,2
GPRASP1,826,506,572,306,494
GPRASP2,935,959,936,661,639
GPRC5A,382,783,1832,136,106
GPRC5B,497,838,137,852,22
GPRC5C,2,7,26,6,2
GPRC5D,8,4,4,0,2
GPRC5D-AS1,63,93,102,17,46
GPRC6A,0,0,0,0,0
GPRIN1,756,171,196,213,261
GPRIN2,0,0,0,0,0
GPRIN3,10,6,4,18,6
GPS1,5936,4746,4767,3690,4532
GPS2,193,170,161,120,155
GPS2P1,8,10,2,6,4
GPS2P2,0,0,0,0,1
GPSM1,4730,5011,5545,3985,5062
GPSM2,2975,1693,759,1171,1456
GPSM3,736,258,122,192,246
GPT,50,111,72,42,44
GPT2,1341,2040,1802,1151,2345
GPX1,21258,15737,17153,17704,20124
GPX1P1,1906,3070,1412,88,1726
GPX1P2,2,12,8,12,10
GPX2,10,2,14,4,10
GPX3,438,108,116,154,92
GPX4,15283,17382,17664,13692,14354
GPX5,0,0,0,0,0
GPX6,0,0,0,0,0
GPX7,1898,957,1372,2486,3316
GPX8,10407,12463,12053,9075,12106
GRAMD1A,2249,2196,2304,1804,2558
GRAMD1B,3081,875,1128,1190,1320
GRAMD1C,801,108,132,138,196
GRAMD2A,5,9,2,6,12
GRAMD2B,2315,5294,6564,2331,3944
GRAMD4,1247,1627,1255,1434,921
GRAMD4P1,0,0,0,0,0
GRAMD4P2,0,0,0,0,0
GRAMD4P3,0,0,0,0,0
GRAMD4P4,0,0,0,0,0
GRAMD4P5,0,0,0,0,0
GRAMD4P6,0,0,0,0,0
GRAMD4P7,2,0,0,0,10
GRAMD4P8,10,1,2,3,0
GRAP,10,0,2,2,0
GRAP2,2,4,0,2,0
GRAPL,2,0,0,0,0
GRB10,3071,3146,2331,2042,4106
GRB14,95,46,60,2,26
GRB2,9396,6746,6768,5377,7337
GRB7,6,4,0,0,4
GREB1,2,26,22,0,2
GREB1L,74,975,401,122,22
GREM1,271015,209907,298219,225848,378922
GREM2,18909,6736,3191,9543,1986
GRHL1,10,238,24,268,2
GRHL2,0,4,0,0,0
GRHL3,1,10,8,2,1
GRHL3-AS1,0,0,0,0,0
GRHPR,6606,6447,5954,4649,5483
GRIA1,28,721,487,216,205
GRIA2,0,8,0,0,4
GRIA3,2377,5192,2629,3155,2230
GRIA4,0,0,0,2,2
GRID1,14,7,9,26,11
GRID1-AS1,2,0,0,0,0
GRID2,0,0,0,0,0
GRID2IP,0,10,0,7,0
GRIFIN,0,0,0,0,0
GRIK1,5,10,16,15,10
GRIK1-AS1,0,0,2,1,0
GRIK2,41,152,263,498,61
GRIK3,4,0,0,0,0
GRIK4,6,2,4,6,4
GRIK5,18,4,4,0,4
GRIN1,6,2,12,0,2
GRIN2A,0,58,142,4,12
GRIN2B,4,4,0,0,0
GRIN2C,35,14,27,12,29
GRIN2D,990,416,253,248,141
GRIN3A,16,24,22,22,25
GRIN3B,36,149,48,53,72
GRINA,9364,11650,10934,9447,7787
GRIP1,10,0,4,0,4
GRIP2,40,32,4,24,15
GRIPAP1,2228,2310,2023,1484,2027
GRK1,2,0,0,1,0
GRK2,4202,2827,2427,2075,2706
GRK3,176,38,99,52,142
GRK4,497,507,438,288,397
GRK5,2846,3779,1439,1598,930
GRK5-IT1,16,0,0,2,1
GRK6,2561,1436,1393,1123,1633
GRK6P1,6,2,2,4,6
GRK7,0,0,0,0,0
GRM1,4,20,18,12,4
GRM2,0,0,4,4,4
GRM3,0,0,0,0,0
GRM3-AS1,0,1,0,1,0
GRM4,28,12,14,26,28
GRM5,0,1,0,0,0
GRM5-AS1,0,0,0,0,0
GRM6,0,4,4,8,2
GRM7,0,0,0,0,0
GRM7-AS1,0,0,0,0,0
GRM7-AS2,0,0,0,0,0
GRM7-AS3,0,0,0,0,0
GRM8,0,2,0,0,2
GRM8-AS1,0,0,0,0,0
GRN,19136,32380,34097,28183,20038
GRP,83,47,32,40,142
GRPEL1,2620,2157,2163,1680,2332
GRPEL2,1273,1674,1463,1255,942
GRPEL2-AS1,0,0,0,0,0
GRPEL2P1,0,0,0,0,0
GRPEL2P2,0,0,0,0,0
GRPEL2P3,0,0,0,0,0
GRPR,136,629,108,14,117
GRSF1,8743,6116,5632,5423,6050
GRTP1,229,172,25,198,45
GRTP1-AS1,1,9,0,1,0
GRWD1,3592,2356,2077,1612,2505
GRXCR1,0,0,0,0,0
GRXCR2,0,0,0,0,0
GSAP,48,181,188,57,158
GSC,6,30,12,37,0
GSC2,0,0,0,0,0
GSDMA,2,4,0,6,0
GSDMB,396,390,444,336,334
GSDMC,0,14,12,4,0
GSDMD,2214,2514,934,2199,1303
GSDME,2663,2911,2654,2027,3638
GSE1,11576,3305,3831,4803,4616
GSEC,182,132,107,97,173
GSG1,56,290,13,52,18
GSG1L,0,0,0,0,0
GSG1L2,0,0,0,0,0
GSK3A,2671,2316,2082,1574,2108
GSK3B,7665,8400,6987,5087,6647
GSKIP,1784,1548,1416,1459,1385
GSN,17199,17294,26924,15389,18345
GSN-AS1,210,292,308,380,259
GSPT1,12794,7195,7651,6456,7534
GSPT2,698,752,794,526,730
GSR,3460,3238,3066,2025,3097
GSS,5888,4416,4072,3293,3804
GSTA1,6,2,0,4,26
GSTA10P,0,0,0,2,0
GSTA11P,0,0,0,0,0
GSTA12P,0,0,0,0,0
GSTA2,2,0,0,2,4
GSTA3,0,0,0,0,0
GSTA4,828,1418,880,952,1536
GSTA5,0,0,0,0,0
GSTA6P,0,0,2,0,0
GSTA7P,0,0,0,0,0
GSTA8P,0,0,0,0,0
GSTA9P,0,0,0,0,0
GSTCD,1218,454,397,381,478
GSTCD-AS1,8,17,2,1,1
GSTK1,4929,5570,4837,4861,4300
GSTM1,946,1148,2004,862,724
GSTM2,996,1521,1346,1114,827
GSTM2P1,0,2,2,0,0
GSTM3,1687,6492,4053,755,2509
GSTM3P1,0,0,0,0,0
GSTM3P2,0,0,0,0,0
GSTM4,853,1122,1334,984,880
GSTM5,794,399,464,952,244
GSTM5P1,0,0,0,0,0
GSTO1,11953,6063,8698,6362,7022
GSTO2,284,171,278,261,140
GSTO3P,0,0,0,2,2
GSTP1,16430,17365,18748,13535,19472
GSTP1P1,6,0,0,0,1
GSTT2,9,6,0,0,2
GSTT2B,164,172,70,116,86
GSTT4,0,0,0,0,0
GSTZ1,546,570,501,786,623
GSX1,0,0,0,0,0
GSX2,0,0,0,0,0
GTDC1,740,1253,1142,1107,1099
GTF2A1,4823,4025,3256,3114,3252
GTF2A1L,0,0,0,1,0
GTF2A2,7128,5345,4662,4019,5168
GTF2B,1246,1111,1022,819,999
GTF2E1,842,1017,646,616,510
GTF2E2,2504,1857,1950,1687,2007
GTF2F1,6390,5331,4658,4279,4914
GTF2F2,2038,1264,1292,1120,2437
GTF2F2P1,4,0,0,0,2
GTF2F2P2,0,0,0,0,0
GTF2H1,5118,5971,4649,4137,4085
GTF2H2,400,440,318,490,584
GTF2H2B,484,247,202,181,553
GTF2H2C,737,590,482,467,579
GTF2H3,3612,2744,2205,2193,2201
GTF2H4,9,7,6,11,4
GTF2H5,5364,6539,5715,4654,5137
GTF2I,3178,2721,2230,1960,2215
GTF2IP1,260,315,299,331,238
GTF2IP11,0,0,0,0,0
GTF2IP12,199,140,109,76,133
GTF2IP13,191,97,54,60,57
GTF2IP14,19,12,12,9,18
GTF2IP2,0,0,0,0,0
GTF2IP20,262,220,164,155,77
GTF2IP22,0,0,0,0,0
GTF2IP23,9,23,11,15,9
GTF2IP3,0,0,0,0,0
GTF2IP4,1094,1496,1362,1300,963
GTF2IP5,0,15,12,7,3
GTF2IP6,0,0,0,0,0
GTF2IP7,0,0,0,6,0
GTF2IP8,0,0,0,0,0
GTF2IP9,0,0,0,0,0
GTF2IRD1,1519,766,885,721,1047
GTF2IRD1P1,8,6,8,6,6
GTF2IRD2,417,396,189,241,208
GTF2IRD2B,672,1171,896,848,936
GTF2IRD2P1,6,0,2,4,2
GTF3A,4741,4028,3329,2881,4230
GTF3AP1,0,0,0,0,0
GTF3AP2,0,1,0,0,0
GTF3AP5,0,0,0,0,0
GTF3AP6,0,0,0,0,0
GTF3C1,6420,6156,5159,4062,4798
GTF3C2,2835,1657,1725,1509,1893
GTF3C2-AS1,13,7,11,6,7
GTF3C3,3112,2240,1742,1821,2074
GTF3C4,3646,2701,2196,2153,3273
GTF3C5,3828,2624,2079,1892,2262
GTF3C6,4391,2606,2738,2408,3419
GTPBP1,3469,2896,2123,1999,2961
GTPBP10,1625,1252,1027,1049,925
GTPBP2,4436,4925,3862,3303,4825
GTPBP3,699,529,494,376,568
GTPBP4,5127,3850,3928,3063,5282
GTPBP6,0,0,0,0,0
GTPBP8,689,639,476,526,651
GTSCR1,0,0,0,0,2
GTSE1,5885,548,546,556,1258
GTSE1-DT,22,18,10,8,6
GTSF1,2232,0,0,0,0
GTSF1L,0,0,0,0,0
GUCA1A,24,0,4,2,2
GUCA1B,20,10,24,19,5
GUCA1C,0,0,0,0,0
GUCA2A,0,0,0,0,0
GUCA2B,0,0,0,0,0
GUCD1,6267,5839,4690,3828,4025
GUCY1A1,18,38,14,16,0
GUCY1A2,54,474,20,164,208
GUCY1B1,217,443,220,427,20
GUCY1B2,0,0,0,2,0
GUCY2C,0,0,1,0,4
GUCY2D,0,0,0,4,0
GUCY2EP,0,0,0,0,0
GUCY2F,0,0,0,0,0
GUCY2GP,0,0,0,0,0
GUF1,2022,1520,1325,1134,1567
GUK1,16539,9148,12696,9542,9100
GULOP,0,0,0,0,0
GULP1,962,902,3049,461,964
GUSB,4730,1971,2063,2450,2670
GUSBP1,281,205,186,278,264
GUSBP10,0,0,0,0,0
GUSBP11,7,1,1,2,0
GUSBP12,0,0,0,0,0
GUSBP16,5,0,0,0,0
GUSBP2,41,45,47,37,39
GUSBP3,9,4,5,5,15
GUSBP4,0,1,1,0,0
GUSBP5,36,8,26,20,27
GUSBP6,0,0,0,0,0
GUSBP8,0,0,0,0,0
GUSBP9,21,12,5,17,10
GVINP1,34,2,12,32,22
GVINP2,0,0,1,0,0
GVQW3,145,158,85,87,102
GXYLT1,1530,1385,1310,1227,1355
GXYLT1P1,0,0,0,0,0
GXYLT1P2,0,0,0,0,0
GXYLT1P3,0,0,0,0,0
GXYLT1P4,0,0,0,0,0
GXYLT1P6,0,0,0,0,0
GXYLT1P7,0,0,0,0,0
GXYLT2,299,1226,655,611,1025
GYG1,3067,3734,3124,2634,3073
GYG1P1,0,0,0,0,0
GYG1P2,0,0,0,0,0
GYG1P3,0,0,0,0,0
GYG2,161,164,150,218,408
GYG2-AS1,0,0,0,0,0
GYG2P1,85,0,105,68,0
GYPA,2,0,1,0,0
GYPB,0,0,0,0,0
GYPC,1547,2185,2551,2836,2554
GYPE,166,213,220,195,22
GYS1,5198,3557,3695,2707,2744
GYS2,0,0,0,0,0
GZF1,1861,1183,1039,813,1208
GZMA,2,4,0,0,4
GZMAP1,0,0,0,0,0
GZMB,0,2,8,0,0
GZMH,0,0,0,0,0
GZMK,0,0,0,0,0
GZMM,12,9,0,4,0
H1-0,13531,8860,5820,6556,10158
H1-1,2,0,0,1,0
H1-10,4572,1860,1520,1509,2294
H1-10-AS1,182,87,89,73,44
H1-12P,0,0,1,0,0
H1-2,1000,673,1532,536,406
H1-3,0,0,0,0,0
H1-4,22,2,2,2,4
H1-5,6,0,4,0,2
H1-6,0,2,0,0,0
H1-7,0,0,0,0,0
H1-8,0,0,0,0,0
H1-9P,4,12,8,10,40
H19,2,223,46,0,7
H2AB1,0,1,6,0,0
H2AB2,0,0,0,0,0
H2AB3,0,0,0,0,0
H2AC1,0,0,0,0,0
H2AC10P,0,0,0,0,2
H2AC11,168,44,121,76,102
H2AC12,6,2,2,4,2
H2AC13,8,8,8,8,15
H2AC14,24,0,0,6,10
H2AC15,0,0,0,0,0
H2AC16,8,0,0,0,1
H2AC17,0,0,0,0,0
H2AC18,0,0,2,4,2
H2AC19,4,9,7,5,5
H2AC20,120,15,11,16,15
H2AC21,1,2,4,1,0
H2AC2P,0,0,0,0,0
H2AC3P,0,0,0,0,0
H2AC4,0,0,0,0,0
H2AC5P,0,0,0,0,0
H2AC6,596,1955,2703,1126,913
H2AC7,0,0,0,0,0
H2AC8,24,14,34,10,18
H2AC9P,0,0,1,0,0
H2ACP1,0,0,0,0,0
H2ACP2,0,0,0,0,0
H2AJ,3687,2729,4298,2642,1946
H2AL1QP,0,0,0,0,0
H2AL1RP,0,0,0,0,0
H2AL1SP,0,0,0,0,0
H2AP,0,0,0,0,0
H2AQ1P,0,0,0,0,0
H2AW,224,138,148,94,182
H2AX,13499,2960,2330,1980,3809
H2AZ1,18376,5626,4807,4535,9028
H2AZ1-DT,10,7,17,10,8
H2AZ2,15463,6661,4476,4760,6066
H2AZ2P1,16,4,8,10,18
H2AZP1,2,0,2,0,1
H2AZP2,0,0,0,0,0
H2AZP3,0,0,0,0,0
H2AZP4,1,1,0,0,0
H2AZP5,0,0,0,0,0
H2AZP6,0,0,0,0,0
H2AZP7,0,0,0,0,0
H2BC1,0,0,0,0,0
H2BC10,4,0,0,0,0
H2BC11,90,88,163,69,62
H2BC12,885,1193,1993,1049,840
H2BC13,14,0,2,4,2
H2BC14,0,0,0,0,0
H2BC15,56,55,119,52,66
H2BC16P,5,0,0,0,0
H2BC17,12,2,2,6,0
H2BC18,20,44,73,26,15
H2BC19P,55,69,105,74,54
H2BC20P,261,268,211,175,162
H2BC21,233,750,860,426,359
H2BC2P,0,0,0,0,0
H2BC3,2,0,4,0,0
H2BC4,60,104,130,62,52
H2BC5,96,308,367,167,136
H2BC6,6,0,17,6,0
H2BC7,3,4,6,2,16
H2BC8,22,32,84,4,24
H2BC9,22,8,18,12,14
H2BE1,1,7,0,2,3
H2BL1P,0,0,0,0,0
H2BP1,76,53,76,34,40
H2BP2,2,2,0,7,0
H2BP3,0,0,0,0,0
H2BP5,0,0,0,0,0
H2BP6,0,0,2,0,0
H2BP7,0,0,0,0,0
H2BP8,0,0,0,0,0
H2BP9,0,0,2,0,0
H2BS1,4,12,2,0,8
H2BU1,10,6,2,0,0
H2BU2P,0,0,0,0,0
H2BW1,0,0,0,0,0
H2BW2,1,0,0,0,0
H2BW3P,11,18,4,0,4
H3-2,0,0,0,2,0
H3-3A,8432,5560,4877,5082,7968
H3-3B,34275,22220,15383,17546,25168
H3-4,1,6,10,3,0
H3-5,46,14,14,32,44
H3C1,2,0,6,0,4
H3C10,22,30,42,24,38
H3C11,0,0,0,0,2
H3C12,8,2,2,0,1
H3C13,2,6,0,2,4
H3C14,0,0,0,0,0
H3C15,0,0,0,0,0
H3C4,0,0,0,0,0
H3C5P,0,0,0,0,0
H3C6,54,311,183,107,86
H3C7,0,0,3,0,0
H3C8,24,6,2,4,4
H3C9P,0,0,0,0,0
H3P1,4,0,0,0,0
H3P10,0,0,0,0,0
H3P11,0,0,0,0,0
H3P12,0,0,0,0,0
H3P13,2,0,0,0,0
H3P14,0,0,0,4,10
H3P15,0,0,0,0,0
H3P16,54,15,16,21,17
H3P17,0,0,0,0,0
H3P18,0,0,0,0,0
H3P19,0,0,0,0,0
H3P2,0,0,0,0,0
H3P20,0,0,0,0,0
H3P21,0,0,0,0,0
H3P22,0,0,0,0,0
H3P23,0,0,0,0,0
H3P24,0,0,0,0,0
H3P25,0,4,3,0,0
H3P26,0,0,0,0,0
H3P27,0,0,0,0,0
H3P28,0,0,0,0,0
H3P29,0,0,0,0,0
H3P3,0,0,0,0,0
H3P30,0,0,0,0,0
H3P31,0,0,0,0,0
H3P32,0,0,0,0,0
H3P33,2,0,0,0,0
H3P34,0,0,0,0,0
H3P35,0,0,0,0,0
H3P36,6,18,2,0,8
H3P37,5,8,0,2,4
H3P38,1,0,0,0,1
H3P39,0,0,0,0,0
H3P4,51,14,32,26,23
H3P40,0,0,0,0,0
H3P41,0,0,0,0,0
H3P42,0,0,0,0,0
H3P43,0,0,0,0,0
H3P44,0,0,0,0,0
H3P45,2,0,0,0,0
H3P46,0,0,0,0,0
H3P47,27,18,12,26,16
H3P5,0,0,0,0,0
H3P6,795,561,410,522,235
H3P7,0,2,0,0,0
H3P8,0,0,0,0,0
H3P9,0,0,0,0,0
H3Y1,0,0,0,0,0
H3Y2,0,0,0,0,0
H4-16,65,68,96,57,47
H4C1,2,0,0,0,4
H4C10P,0,2,0,0,0
H4C11,10,2,15,10,16
H4C12,45,6,4,0,7
H4C13,0,0,0,0,0
H4C14,16,26,56,12,14
H4C15,0,6,0,2,0
H4C2,4,0,0,2,2
H4C3,0,0,0,3,0
H4C4,2,0,0,0,6
H4C5,11,10,30,4,13
H4C6,0,0,0,0,0
H4C7,0,0,0,0,0
H4C8,94,166,517,114,126
H4C9,219,262,459,248,171
H4P1,0,0,0,0,0
H6PD,8590,9162,11631,8875,6107
HAAO,441,181,138,83,306
HABP2,0,0,0,0,0
HABP4,4503,1876,2719,2302,2530
HACD1,4990,3224,2592,2493,2969
HACD2,5272,2498,2346,2093,4686
HACD3,10941,7260,6343,5374,6369
HACD4,1953,1230,655,660,700
HACE1,1200,1234,990,904,1155
HACL1,763,687,612,529,564
HADH,1958,1386,1325,1042,1782
HADHA,13621,10653,10116,8992,9940
HADHAP1,0,1,6,2,0
HADHAP2,8,21,23,20,12
HADHB,6544,6429,6394,6034,5243
HAGH,1617,1754,1702,1110,1005
HAGHL,599,567,749,1114,1006
HAGLR,536,587,136,675,1619
HAGLROS,148,74,12,19,58
HAL,2,6,2,2,2
HAMP,4,0,0,0,0
HAND1,2,0,0,0,10
HAND2,2448,3525,1000,4806,6
HAND2-AS1,1458,1716,603,2948,0
HAO1,0,0,0,0,0
HAO2,0,0,0,0,0
HAO2-IT1,0,0,0,0,0
HAP1,0,5,5,8,0
HAPLN1,22,1112,6139,3392,28787
HAPLN2,0,4,0,1,0
HAPLN3,1266,1159,6468,1738,3164
HAPLN4,0,0,0,0,0
HAR1A,32,61,38,68,7
HAR1B,16,4,11,2,5
HARBI1,328,337,318,208,247
HARS1,7219,4208,4341,4150,4543
HARS2,2010,1596,1435,1439,1226
HAS1,28,4,16,4,2
HAS2,11334,3034,3942,5814,8999
HAS2-AS1,120,111,48,87,53
HAS3,21,68,89,60,126
HASPIN,541,98,106,106,134
HAT1,5245,2344,2374,1992,2396
HAUS1,1924,816,701,799,1089
HAUS1P1,0,0,0,0,0
HAUS1P2,0,0,0,4,0
HAUS1P3,0,0,0,0,0
HAUS2,2581,1377,1313,1228,1381
HAUS3,1044,691,547,517,603
HAUS4,392,293,168,230,228
HAUS4P1,0,0,0,0,0
HAUS5,1778,657,540,490,523
HAUS6,3459,1568,1129,1349,1514
HAUS6P1,2,4,0,0,6
HAUS6P2,0,0,0,0,0
HAUS6P3,0,0,16,0,2
HAUS7,146,467,430,348,181
HAUS8,1143,350,293,274,366
HAUS8P1,0,0,0,0,0
HAVCR1,0,0,0,0,0
HAVCR2,4,2,4,4,2
HAX1,5352,5848,4770,3884,5050
HBA1,0,0,0,0,0
HBA2,0,0,0,0,0
HBB,0,0,0,0,2
HBBP1,0,0,0,0,0
HBD,4,0,10,0,0
HBE1,0,0,0,0,0
HBEGF,498,74,116,82,946
HBG1,0,0,0,0,0
HBG2,0,0,0,0,0
HBM,0,0,0,0,0
HBP1,2216,3523,2540,2943,2177
HBQ1,0,2,2,0,2
HBS1L,4547,3316,3340,2830,3555
HBZ,0,0,0,0,0
HBZP1,0,0,0,0,0
HCAR1,60,0,14,0,0
HCAR2,0,0,2,0,22
HCAR3,0,0,0,0,0
HCCAT5,0,0,0,0,0
HCCS,2047,2399,2070,1428,1643
HCFC1,7868,5596,5087,3541,5461
HCFC1-AS1,14,6,4,4,2
HCFC1R1,3805,2234,1911,2222,2693
HCFC2,3076,2607,1914,2204,1798
HCFC2P1,0,0,0,0,0
HCG11,1732,2402,1388,1348,1238
HCG14,0,0,2,0,0
HCG15,20,10,8,7,16
HCG17,8,1,2,4,9
HCG18,1019,1261,1250,843,1339
HCG20,12,13,17,16,6
HCG21,0,1,0,0,0
HCG22,0,0,0,0,0
HCG24,0,0,0,0,0
HCG25,23,19,13,40,17
HCG27,73,32,34,5,4
HCG4,0,0,0,0,0
HCG4B,4,10,13,27,17
HCG4P8,0,0,0,0,0
HCG9,1,0,1,0,0
HCK,0,0,0,0,0
HCLS1,601,70,1243,246,4
HCN1,0,0,0,0,4
HCN2,177,194,386,204,367
HCN3,339,291,408,218,229
HCN4,0,0,2,0,0
HCP5,21,26,64,53,33
HCRT,3,0,0,0,0
HCRTR1,4,1,4,7,2
HCRTR2,0,0,0,0,0
HCST,1,1,0,3,3
HDAC1,9831,6993,4681,6160,6183
HDAC10,101,89,102,125,68
HDAC11,1026,1263,1472,1089,830
HDAC11-AS1,0,0,0,0,0
HDAC1P1,3,1,0,0,0
HDAC1P2,0,0,0,0,0
HDAC2,7369,4806,4544,3736,6302
HDAC2-AS2,27,22,29,20,35
HDAC3,3606,2692,2613,2109,2549
HDAC4,1223,1431,1029,938,978
HDAC4-AS1,41,37,31,13,4
HDAC5,8013,5665,5883,5109,7139
HDAC6,2412,1914,1653,1377,1809
HDAC7,8920,8506,7406,5953,6156
HDAC8,396,403,319,255,332
HDAC9,1981,1748,2706,2101,2867
HDAC9-AS1,0,0,0,0,0
HDC,0,0,4,0,0
HDDC2,2806,3389,2573,2073,2774
HDDC3,291,208,196,164,198
HDGF,29678,17360,14845,15174,17180
HDGFL1,0,0,0,0,0
HDGFL2,6569,4486,4199,4168,3978
HDGFL3,3185,2908,2753,2181,2674
HDGFP1,0,0,0,0,0
HDHD2,45,23,38,24,37
HDHD3,299,665,586,394,256
HDHD5,2042,1785,1617,1689,1783
HDHD5-AS1,3,14,13,1,2
HDLBP,66714,72338,72596,65118,76534
HDX,274,265,302,216,326
HEATR1,4282,3286,2725,2780,3067
HEATR3,2315,1157,1222,1137,1387
HEATR4,28,16,9,19,19
HEATR5A,1895,4111,4027,2131,1920
HEATR5B,2493,1986,1792,1738,1771
HEATR6,1334,1244,967,963,1046
HEATR9,0,10,0,2,0
HEBP1,3154,5133,3664,3241,2617
HEBP2,2632,5513,2995,2509,2532
HEBP2P1,0,0,0,0,0
HECA,1352,1447,1533,1173,1411
HECTD1,11451,8629,7503,6961,8325
HECTD2,1521,1416,1166,1295,1053
HECTD3,3717,2993,2787,2282,2643
HECTD4,3556,3349,2847,2215,2583
HECW1,568,355,89,362,79
HECW1-IT1,0,0,1,0,0
HECW2,2624,1544,2048,801,1491
HECW2-AS1,18,4,20,4,42
HEG1,14434,75839,35263,22903,21824
HEIH,515,554,375,414,328
HELB,309,241,92,280,260
HELLPAR,117,8,29,10,54
HELLS,1864,465,433,433,644
HELQ,627,638,529,538,464
HELT,0,0,0,0,0
HELZ,3395,4929,3434,3013,3379
HELZ2,2008,1827,1337,1657,1354
HEMGN,6,0,0,0,0
HEMK1,1708,1566,1305,1219,1417
HENMT1,645,536,351,265,361
HEPACAM,0,8,2,2,0
HEPACAM2,0,0,0,0,0
HEPH,3537,4016,6179,2675,3952
HEPHL1,12,7,1,38,17
HEPN1,0,0,0,0,0
HERC1,5225,5473,4362,3976,3781
HERC2,9424,8758,8442,6993,6373
HERC2P10,41,58,2,12,11
HERC2P11,0,1,0,0,0
HERC2P2,2214,3577,587,2377,2248
HERC2P3,503,160,725,739,102
HERC2P4,145,10,2,0,4
HERC2P5,20,0,0,23,0
HERC2P7,2,1,0,0,0
HERC2P8,5,0,0,28,0
HERC2P9,1256,1073,1023,909,805
HERC3,4815,2127,2797,2556,2629
HERC4,25727,8009,7440,6845,6155
HERC5,22,38,22,34,18
HERC6,101,237,265,298,262
HERPUD1,4658,8343,5884,5347,5718
HERPUD2,1871,1862,1609,1542,1414
HES1,707,337,289,172,587
HES2,2,12,8,4,2
HES3,0,8,0,0,0
HES4,76,299,158,50,238
HES5,0,0,4,2,0
HES6,70,64,30,36,52
HES7,10,14,3,10,12
HESX1,9,23,7,5,31
HEXA,1399,2309,2389,2068,1592
HEXA-AS1,16,16,15,4,4
HEXB,12480,12204,12016,14395,13999
HEXD,373,697,469,442,484
HEXD-IT1,12,23,14,6,6
HEXIM1,3967,4572,4004,2889,3909
HEXIM2,180,138,110,114,58
HEY1,180,6,30,16,30
HEY2,8,4,0,0,2
HEYL,12,6,0,12,4
HFE,1868,1631,1373,1611,1148
HFM1,17,35,0,8,0
HGD,2,8,64,10,25
HGF,226,1271,1256,622,48
HGFAC,34,4,0,5,8
HGH1,1894,1220,1170,954,1213
HGS,8841,5565,5486,4608,5575
HGSNAT,6175,7429,6727,5237,5896
HHAT,90,953,855,316,983
HHATL,0,0,0,0,0
HHATL-AS1,0,0,0,0,0
HHEX,8,102,62,2,16
HHIP,213,25,27,9,61
HHIP-AS1,102,51,14,5,37
HHIPL1,1855,1395,2405,1002,1418
HHIPL2,85,42,30,44,112
HHLA1,0,0,0,0,0
HHLA2,0,0,0,0,2
HHLA3,317,500,300,299,329
HHLA3-AS1,3,9,7,13,6
HIBADH,3172,5797,2994,3372,1957
HIBCH,929,1313,1076,714,1120
HIC1,3279,3597,3302,3155,3640
HIC2,584,410,300,362,570
HID1,0,16,2,4,2
HID1-AS1,0,0,0,0,0
HIF1A,24127,48082,29107,31424,31215
HIF1A-AS1,5,13,31,13,9
HIF1A-AS3,10,23,5,16,17
HIF1AN,5606,6126,5236,3816,4416
HIF1AP1,0,0,1,1,0
HIF3A,52,3,0,30,12
HIGD1A,2574,1641,1883,1456,1769
HIGD1AP1,12,18,4,10,16
HIGD1AP10,1,2,2,2,0
HIGD1AP11,0,0,0,0,0
HIGD1AP12,0,0,0,0,0
HIGD1AP13,0,0,0,0,0
HIGD1AP14,2,0,0,0,2
HIGD1AP15,0,0,0,0,0
HIGD1AP16,0,0,0,0,0
HIGD1AP17,0,0,0,0,0
HIGD1AP18,0,0,4,1,0
HIGD1AP2,0,0,0,0,0
HIGD1AP3,0,0,0,0,0
HIGD1AP4,0,0,0,0,0
HIGD1AP5,0,0,0,0,0
HIGD1AP6,0,0,0,0,0
