hgnc_symbol,HH07,HH17,HH18,HH19,HH27
ACAP3,6474,3661,3782,3248,3634
ACAT1,4128,3666,3074,3025,2970
ACAT2,4760,1266,1821,1681,2843
ACBD3,6929,6429,6028,5623,6613
ACBD3-AS1,11,11,10,5,16
ACBD4,417,660,401,374,313
ACBD5,3223,2417,2090,2005,2168
ACBD6,2697,2593,2411,2097,2633
ACBD7,114,53,9,38,48
ACCS,873,2822,1350,1122,1282
ACCSL,0,0,6,0,0
ACD,1713,898,840,698,928
ACE,873,721,726,672,249
ACE2,0,0,0,0,0
ACE3P,0,0,0,0,0
ACER1,6,0,0,1,0
ACER2,69,45,39,18,34
ACER2P1,0,0,0,0,0
ACER3,2161,1156,1188,1041,1219
ACHE,14,10,0,6,8
ACIN1,16264,14780,11665,11276,12146
ACKR1,0,0,0,0,0
ACKR2,4,2,2,5,0
ACKR3,28,2249,226,746,327
ACKR4,1138,4643,1390,5714,12
ACKR4P1,4,2,4,6,0
ACLY,28110,14990,19871,13805,24979
ACMSD,19,10,3,14,4
ACNATP,0,0,0,0,0
ACO1,6514,10637,10718,6974,6381
ACO2,3695,2814,3334,2399,2984
ACOD1,0,0,0,2,0
ACOT1,1028,814,589,743,513
ACOT11,417,53,110,112,104
ACOT12,0,17,16,6,2
ACOT13,1050,904,1183,826,1322
ACOT2,2378,1978,2793,2353,2276
ACOT4,34,55,92,40,30
ACOT6,3,0,0,1,1
ACOT7,4254,1481,1624,1109,2212
ACOT8,899,917,926,694,699
ACOT9,4972,3425,3170,2979,3743
ACOX1,2267,4001,2378,2277,1882
ACOX2,781,1065,1207,861,249
ACOX3,1314,894,1214,1125,1095
ACOXL,0,0,0,4,0
ACOXL-AS1,0,4,0,0,0
ACP1,6091,4769,4937,4494,5180
ACP2,2076,1690,1670,1546,1768
ACP3,6,0,0,0,0
ACP4,12,4,4,0,5
ACP5,301,26,47,384,175
ACP6,201,122,291,128,207
ACP7,32,8,65,18,30
ACR,0,0,2,0,0
ACRBP,6,14,2,5,8
ACRP1,0,0,0,0,0
ACRV1,10,9,0,0,4
ACSBG1,12,4,2,2,2
ACSBG2,12,12,3,14,6
ACSF2,1048,1065,1063,921,1528
ACSF3,1183,1205,958,857,993
ACSL1,2250,3545,2155,2329,1221
ACSL3,8051,6362,6461,6194,9098
ACSL3-AS1,2,2,0,2,1
ACSL4,7952,5152,5157,4486,6719
ACSL5,61,30,26,110,45
ACSL6,0,2,0,0,0
ACSL6-AS1,0,0,0,0,0
ACSM1,0,0,0,0,0
ACSM2A,0,0,0,0,0
ACSM2B,0,0,0,0,0
ACSM3,8,7,5,2,5
ACSM4,13,2,5,4,10
ACSM5,0,2,0,2,0
ACSM5P1,0,0,0,0,0
ACSM6,0,0,0,0,1
ACSS1,556,1328,685,894,716
ACSS2,2143,2245,2031,1853,1406
ACSS3,541,441,1142,743,444
ACTA1,4,2,6,0,2
ACTA2,8036,3302,20782,9653,19672
ACTA2-AS1,43,45,101,60,133
ACTB,531960,249026,334863,232313,355971
ACTBL2,0,4,0,0,2
ACTBP1,0,0,0,0,0
ACTBP11,24,4,4,6,12
ACTBP12,0,0,0,0,0
ACTBP13,0,0,0,0,0
ACTBP14,0,0,0,0,0
ACTBP2,80,32,36,36,54
ACTBP6,0,0,0,0,0
ACTBP7,2,0,2,2,0
ACTBP8,0,0,0,0,0
ACTBP9,0,0,0,0,0
ACTC1,14055,2394,986,678,4008
ACTE1P,0,0,0,0,0
ACTG1,326052,157681,221405,163758,291228
ACTG1P1,14,6,4,14,7
ACTG1P10,14,18,14,6,22
ACTG1P11,0,0,0,0,0
ACTG1P12,0,0,0,0,0
ACTG1P13,0,0,0,0,2
ACTG1P14,6,0,11,0,2
ACTG1P15,4,2,5,0,3
ACTG1P16,0,0,0,1,2
ACTG1P17,0,1,4,2,0
ACTG1P18,0,0,0,0,0
ACTG1P19,0,0,0,0,0
ACTG1P2,0,0,0,0,0
ACTG1P20,18,17,9,17,10
ACTG1P21,0,0,0,0,0
ACTG1P22,2,0,0,0,0
ACTG1P23,0,0,0,0,2
ACTG1P24,8,2,0,0,1
ACTG1P3,8,10,14,2,7
ACTG1P4,0,0,0,0,0
ACTG1P9,2,0,2,0,0
ACTG2,2,0,4,0,172
ACTL10,64,33,115,92,180
ACTL6A,5273,2503,2235,2234,2979
ACTL6B,0,0,0,0,0
ACTL7A,0,0,0,0,0
ACTL7B,0,2,2,0,0
ACTL8,6,2,2,4,2
ACTL9,0,0,0,0,0
ACTN1,51611,33631,52062,31031,61238
ACTN1-AS1,11,22,4,4,5
ACTN2,0,0,0,0,3
ACTN3,14,0,0,2,0
ACTN4,88986,40595,65496,34983,56028
ACTN4P1,20,0,2,2,12
ACTN4P2,0,0,0,0,0
ACTP1,0,0,0,0,0
ACTR10,5283,4816,4566,4133,4171
ACTR1A,14019,9158,9471,6966,9345
ACTR1AP1,2,0,0,0,1
ACTR1B,5079,3959,3440,3337,3668
ACTR2,51198,33687,33140,29389,47211
ACTR3,33073,18368,24387,20853,29182
ACTR3B,432,377,446,296,488
ACTR3BP1,0,0,0,0,0
ACTR3BP2,0,0,0,0,0
ACTR3BP3,0,0,0,0,0
ACTR3BP4,6,0,0,0,0
ACTR3BP5,0,0,0,0,0
ACTR3BP6,0,0,0,0,0
ACTR3C,8,5,13,2,4
ACTR3P2,0,0,0,0,0
ACTR3P3,0,0,0,0,0
ACTR5,483,349,261,248,393
ACTR6,1079,1090,901,811,1024
ACTR6P1,0,0,0,0,0
ACTR8,3162,2653,2199,2603,1915
ACTRT1,0,0,0,0,0
ACTRT2,0,0,0,0,0
ACTRT3,299,326,376,184,255
ACVR1,2811,4257,3086,2991,3395
ACVR1B,1890,2513,2209,1540,1172
ACVR1C,18,20,76,32,190
ACVR2A,376,1047,393,2195,239
ACVR2B,182,164,150,138,222
ACVR2B-AS1,9,13,8,6,16
ACVRL1,3348,4176,3888,2908,601
ACY1,18,19,24,22,8
ACY3,0,0,0,0,0
ACYP1,492,295,215,260,246
ACYP2,581,751,929,685,463
ADA,1026,1978,1054,2479,973
ADA2,1092,172,164,90,120
ADAD1,0,0,0,0,0
ADAD1P2,0,0,0,0,0
ADAD2,0,0,0,0,0
ADAL,896,653,490,474,555
ADAM10,17531,16119,10714,14330,8935
ADAM11,53,33,67,39,46
ADAM12,19439,33860,31270,20493,30896
ADAM15,4199,3843,4516,2393,3328
ADAM17,1775,2844,2096,1986,2135
ADAM18,0,2,0,0,0
ADAM19,3856,1005,2662,1711,7627
ADAM1A,0,0,0,0,0
ADAM1B,6,6,0,2,8
ADAM2,0,0,0,0,0
ADAM20,0,8,4,0,2
ADAM20P1,14,18,25,6,24
ADAM20P2,0,0,0,0,0
ADAM20P3,0,0,0,0,0
ADAM21,43,50,16,12,22
ADAM21P1,0,0,2,0,0
ADAM22,25,28,20,15,15
ADAM23,1342,906,1098,663,486
ADAM24P,0,0,0,0,0
ADAM28,41,21,42,2,139
ADAM29,0,4,0,0,0
ADAM30,0,0,0,0,0
ADAM32,114,161,100,111,63
ADAM33,7335,15235,7022,14978,10128
ADAM3A,0,0,0,0,0
ADAM3B,0,0,0,0,1
ADAM5,0,0,0,0,0
ADAM6,0,0,0,0,0
ADAM7,0,0,0,0,2
ADAM8,73,67,48,28,58
ADAM9,29549,29699,23560,25878,35855
ADAMDEC1,2,4,0,0,0
ADAMTS1,24869,76805,38998,32960,10984
ADAMTS10,453,2222,1074,927,568
ADAMTS12,1514,6010,4290,2558,7255
ADAMTS13,160,539,224,258,206
ADAMTS14,981,1189,1093,1517,805
ADAMTS15,240,671,182,469,46
ADAMTS16,2,0,0,2,20
ADAMTS17,13,4,0,3,0
ADAMTS18,0,0,0,0,0
ADAMTS19,0,0,0,0,0
ADAMTS19-AS1,0,0,0,0,0
ADAMTS2,21907,13958,10757,15455,22261
ADAMTS20,0,0,0,0,0
ADAMTS3,165,74,82,40,78
ADAMTS4,1170,400,665,552,703
ADAMTS5,2581,13402,6926,5750,3383
ADAMTS6,1481,1620,1220,1542,1943
ADAMTS7,3480,2855,2767,2360,4209
ADAMTS7P1,0,2,0,0,36
ADAMTS7P3,4,8,18,5,15
ADAMTS7P4,14,62,34,44,20
ADAMTS8,2,34,4,56,4
ADAMTS9,163,253,255,107,281
ADAMTS9-AS1,0,0,0,1,0
ADAMTS9-AS2,7,56,42,36,47
ADAMTSL1,22423,20327,9443,15015,19847
ADAMTSL2,0,0,0,0,4
ADAMTSL3,10,18,18,0,2
ADAMTSL4,965,7524,3673,2345,1297
ADAMTSL4-AS1,39,24,22,14,29
ADAMTSL4-AS2,13,26,31,11,10
ADAMTSL5,1037,1227,455,882,480
ADAP1,233,94,94,50,9
ADAP2,7,8,12,10,16
ADAR,13966,14848,11775,11411,11328
ADARB1,3563,4186,6938,6109,1962
ADARB2,2,0,0,0,0
ADARB2-AS1,0,0,0,0,0
ADAT1,2164,1345,1210,970,1171
ADAT2,577,388,301,386,465
ADAT3,192,151,124,101,133
ADCK1,424,393,450,341,322
ADCK2,417,510,431,269,286
ADCK5,921,728,627,644,561
ADCY1,80,60,24,22,26
ADCY10,1,5,5,17,8
ADCY10P1,223,133,145,65,196
ADCY2,0,4,2,20,4
ADCY3,3829,2881,2229,2154,1388
ADCY4,125,1884,2301,168,78
ADCY5,30,72,58,33,21
ADCY6,3159,4509,4119,2456,3291
ADCY6-DT,5,7,3,3,0
ADCY7,2994,1966,1279,1835,2058
ADCY8,4,0,6,4,6
ADCY9,5152,7524,4339,5586,3587
ADCYAP1,0,6,0,0,4
ADCYAP1R1,2,0,2,0,0
ADD1,20642,16854,14712,12901,13652
ADD2,3730,976,4,765,58
ADD3,11745,19130,10687,8784,5099
ADD3-AS1,17,24,9,8,6
ADGB,0,0,2,0,0
ADGRA1,0,0,0,0,0
ADGRA1-AS1,0,0,0,0,0
ADGRA2,24318,25043,22539,24499,14236
ADGRA3,1461,1279,1165,855,1320
ADGRB1,6,14,8,2,6
ADGRB2,443,911,777,306,554
ADGRB3,2,0,0,4,0
ADGRD1,77,16310,41,1325,12
ADGRD1-AS1,0,15,0,3,0
ADGRD2,0,0,0,0,0
ADGRE1,14,0,0,0,0
ADGRE2,10,0,2,6,2
ADGRE3,0,0,0,0,0
ADGRE4P,0,0,0,0,0
ADGRE5,6529,1507,2942,2063,2618
ADGRF1,0,0,0,0,0
ADGRF2,0,0,4,0,0
ADGRF3,41,80,77,39,27
ADGRF4,0,0,6,0,0
ADGRF5,2,0,0,2,0
ADGRF5-AS1,0,0,0,0,0
ADGRF5P1,0,0,0,12,0
ADGRF5P2,0,0,0,0,0
ADGRG1,294,80,164,82,92
ADGRG2,38,30,17,36,28
ADGRG3,0,0,0,0,0
ADGRG4,1,6,0,2,4
ADGRG5,0,0,0,0,4
ADGRG6,540,2536,648,440,948
ADGRG7,0,0,0,0,0
ADGRL1,767,872,564,525,447
ADGRL2,4351,1887,3637,1099,2417
ADGRL3,0,0,0,0,0
ADGRL3-AS1,0,0,0,0,0
ADGRL4,2278,1640,2947,709,1097
ADGRV1,17,5,2,1,15
ADH1A,2,48,3,10,2
ADH1B,30,6410,138,299,2
ADH1C,2,30,0,7,0
ADH4,0,26,3,10,2
ADH5,14765,25513,16482,18302,13529
ADH5P2,0,8,2,0,0
ADH5P3,0,8,0,6,0
ADH5P4,26,48,46,42,42
ADH5P5,0,2,0,0,0
ADH6,14,112,20,39,26
ADH7,0,0,1,2,0
ADHFE1,72,115,61,38,9
ADI1,7477,6629,5225,4154,4766
ADI1P1,2,0,0,0,0
ADI1P2,0,0,0,0,0
ADI1P3,0,0,0,0,0
ADIG,0,0,0,0,0
ADIPOQ,0,0,2,0,0
ADIPOQ-AS1,0,0,0,0,0
ADIPOR1,4731,5559,5089,3734,4656
ADIPOR1P1,0,0,0,0,0
ADIPOR1P2,0,0,0,0,0
ADIPOR2,5721,5297,4683,4113,4820
ADIRF,0,0,0,0,0
ADIRF-AS1,599,444,211,167,146
ADK,4166,1894,2035,1830,2777
ADM,19935,47320,43120,39486,22163
ADM2,696,3852,1349,1223,1289
ADM5,15,4,3,2,5
ADNP,4558,3300,2721,2616,3284
ADNP-AS1,51,65,48,29,35
ADNP2,1892,1273,1095,1129,1694
ADO,2162,1808,2124,1313,1653
ADORA1,158,24,55,157,51
ADORA2A,7,3,8,7,6
ADORA2A-AS1,13,6,7,4,7
ADORA2B,307,142,169,76,181
ADORA2BP1,0,0,0,0,0
ADORA3,0,0,2,0,0
ADPGK,3570,3538,2691,2989,2851
ADPGK-AS1,1,4,4,7,16
ADPRH,474,231,327,190,178
ADPRHL1,406,121,108,112,161
ADPRM,285,572,699,439,514
ADPRS,1636,1752,1576,1121,1408
ADRA1A,0,0,0,0,0
ADRA1B,604,265,185,131,228
ADRA1D,318,144,74,428,144
ADRA2A,3011,634,182,2025,283
ADRA2B,0,0,2,0,0
ADRA2C,991,170,282,144,192
ADRB1,4,0,0,0,2
ADRB2,441,38,34,42,20
ADRB3,0,0,0,0,0
ADRM1,4662,2994,3246,2615,3297
ADSL,260,442,309,231,312
ADSS1,81,127,177,104,111
ADSS2,4196,2929,2876,2427,3214
ADTRP,179,64,98,18,20
AEBP1,23197,50959,20132,33050,27519
AEBP2,2330,2535,2056,1658,1937
AEN,4329,3582,3776,2703,4690
AFAP1,8299,10114,15058,8173,11774
AFAP1-AS1,42,32,90,35,57
AFAP1L1,948,369,454,251,347
AFAP1L2,2,2,0,4,2
AFDN,3022,1948,1771,1191,2009
AFDN-DT,6,0,0,6,2
AFF1,3365,3105,2965,2373,2709
AFF2,1838,557,443,560,198
AFF2-IT1,0,0,0,0,0
AFF3,606,1214,1699,2067,3826
AFF4,10944,12258,10369,9838,11148
AFG1L,412,479,251,236,274
AFG3L1P,957,609,494,565,697
AFG3L2,3017,2371,2237,1846,2390
AFG3L2P1,0,0,0,0,0
AFM,0,0,0,0,0
AFMID,795,273,354,494,598
AFP,80,42,52,14,50
AFTPH,1483,1699,1560,1139,1399
AGA,1766,1442,2131,1310,926
AGAP1,2665,1748,1693,1373,1954
AGAP1-IT1,3,12,0,2,0
AGAP10P,14,15,31,8,5
AGAP11,5,5,0,0,0
AGAP12P,44,26,9,16,34
AGAP13P,7,9,10,4,14
AGAP14P,15,17,24,2,3
AGAP2,61,39,27,49,28
AGAP2-AS1,95,62,37,76,73
AGAP3,4512,3600,3888,2731,3161
AGAP4,347,306,225,228,210
AGAP5,32,28,33,36,18
AGAP6,508,535,545,418,505
AGAP7P,14,17,15,69,10
AGAP9,237,32,207,94,215
AGBL1,0,0,0,0,0
AGBL1-AS1,0,0,0,0,0
AGBL2,32,38,22,14,16
AGBL3,69,82,61,44,54
AGBL4,1,0,4,0,0
AGBL4-AS1,0,0,0,0,0
AGBL4-IT1,0,0,0,0,0
AGBL5,1596,1554,1082,1107,1392
AGBL5-AS1,0,1,0,0,0
AGBL5-IT1,16,37,13,25,33
AGER,214,160,97,135,95
AGFG1,4517,3937,2991,2829,2722
AGFG2,1290,562,432,581,550
AGGF1,978,773,801,657,748
AGGF1P1,0,0,0,0,0
AGGF1P10,0,0,0,0,0
AGGF1P2,6,0,6,6,0
AGGF1P3,10,2,6,12,4
AGGF1P4,0,0,0,0,0
AGGF1P5,0,0,0,0,0
AGGF1P6,0,0,0,0,0
AGGF1P7,0,0,0,0,0
AGGF1P8,0,0,0,0,0
AGGF1P9,0,0,0,0,0
AGK,1719,1071,1046,900,1218
AGKP1,0,0,2,0,0
AGL,1552,2428,2021,1205,1439
AGMAT,121,80,119,140,80
AGMO,0,8,2,0,0
AGO1,2953,3032,2268,1863,2425
AGO2,4449,4676,3452,3254,3880
AGO3,1557,1813,1377,1213,1408
AGO4,1954,1898,1304,1259,1296
AGPAT1,2098,1782,1657,1320,1363
AGPAT2,2416,2825,2294,2033,1105
AGPAT3,5350,6271,6240,4816,4454
AGPAT4,1406,1246,893,1055,1031
AGPAT5,1615,703,660,612,945
AGPAT5P1,0,0,0,0,0
AGPS,5701,4364,3538,2929,5117
AGR2,0,0,0,0,0
AGR3,0,0,0,0,0
AGRN,4512,8034,9536,7438,7559
AGRP,0,4,0,0,0
AGT,103,106,881,1495,27
AGTPBP1,931,868,750,693,901
AGTR1,623,694,578,262,3898
AGTR2,0,0,0,0,0
AGTRAP,1570,2322,2091,1879,1288
AGXT,0,0,0,0,0
AGXT2,0,0,0,0,0
AHCTF1,4382,3072,2428,2201,3189
AHCTF1P1,34,14,10,6,24
AHCY,5988,4503,4892,3754,4886
AHCYL1,9512,10502,8483,7183,8371
AHCYL2,769,942,848,679,654
AHCYP2,0,0,0,0,0
AHCYP3,0,0,0,0,0
AHCYP4,0,0,0,0,0
AHCYP5,0,0,0,0,0
AHCYP7,0,0,0,0,0
AHCYP8,0,0,0,0,0
AHDC1,2378,2243,1614,1375,2852
AHI1,1515,1545,1338,1423,1463
AHNAK,191386,168602,148528,145863,121874
AHNAK2,14465,28040,31052,17710,16408
AHR,3057,4839,2015,3074,1176
AHRR,6598,4438,3561,4731,5500
AHSA1,5711,5288,5730,4429,5156
AHSA2P,4071,3973,2539,3827,2236
AHSG,0,0,0,0,0
AHSP,0,0,0,0,0
AICDA,0,10,16,10,2
AIDA,8906,6044,5142,5368,4937
AIDAP1,10,2,4,2,2
AIDAP2,4,8,24,6,6
AIDAP3,0,0,0,0,0
AIF1,2,0,0,0,0
AIF1L,0,48,0,2,2
AIFM1,2574,2245,2242,1884,1919
AIFM1P1,0,11,0,0,0
AIFM2,2089,4073,1699,1566,1705
AIFM3,18,16,24,11,2
AIG1,1901,2302,2084,1761,3358
AIG1P1,0,0,0,0,0
AIM2,0,4,0,3,10
AIMP1,3620,4222,3305,3098,3338
AIMP1P1,0,0,0,0,0
AIMP1P2,0,0,0,0,2
AIMP2,1549,1292,999,1101,1311
AIP,3447,3141,2771,2598,3114
AIPL1,2,0,4,0,0
AIRE,2,0,2,0,4
AIRN,0,0,0,2,0
AJAP1,24,0,0,0,26
AJM1,265,311,265,202,375
AJUBA,5259,8689,5238,4277,6768
AK1,821,726,920,719,753
AK2,7029,5208,4887,4489,5664
AK2P2,2,0,0,2,2
AK3,3894,7042,4542,4439,3104
AK3P2,0,0,10,4,0
AK3P3,11,14,8,0,17
AK3P4,0,0,0,0,0
