"","SYMBOL","HH07","HH17","HH18","HH19","HH27"
"1","TSPAN6",1365,1865,1627,1583,1526
"2","TNMD",0,0,0,0,0
"3","DPM1",3396,2927,2843,2828,2748
"4","SCYL3",572,595,563,442,413
"5","C1orf112",867,248,221,211,289
"6","FGR",2,5,2,2,2
"7","CFH",498,1517,2790,1167,912
"8","FUCA2",7555,4316,4149,5008,4813
"9","GCLC",968,1150,2530,647,982
"10","NFYA",2922,1554,1518,1293,2085
"11","STPG1",1537,716,604,457,829
"12","NIPAL3",8927,5077,5729,2746,6022
"13","LAS1L",2991,1938,1882,1526,1771
"14","ENPP4",60,80,44,84,22
"15","SEMA3F",832,1169,220,550,1249
"16","CFTR",0,8,2,0,2
"17","ANKIB1",6334,5700,5365,4474,5214
"18","CYP51A1",1047,878,893,848,849
"19","KRIT1",713,705,540,577,510
"20","RAD52",711,657,502,490,339
"22","BAD",1157,1202,1083,792,767
"23","LAP3",4596,5601,5251,4142,4042
"24","CD99",0,2,0,1,0
"26","HS3ST1",0,0,0,0,0
"27","AOC1",0,6,0,0,0
"28","WNT16",356,133,337,183,946
"29","HECW1",568,355,89,362,79
"30","MAD1L1",2912,1535,1865,1267,1754
"31","LASP1",44285,29859,36115,27060,37932
"32","SNX11",1356,1302,1591,1021,1290
"33","TMEM176A",0,18,0,2,0
"34","M6PR",6558,6307,6290,5029,5315
"35","KLHL13",28,50,70,14,4
"36","CYP26B1",60,2146,30,80,10
"37","ICA1",0,10,8,0,3
"38","DBNDD1",136,207,138,45,18
"39","ALS2",3233,3474,3076,2907,3688
"40","CASP10",458,669,194,358,12
"41","CFLAR",4527,7102,4757,4629,4496
"42","TFPI",3185,2059,3451,1268,673
"43","NDUFAF7",924,930,813,858,752
"44","RBM5",5264,5546,3868,4143,3503
"45","MTMR7",82,73,63,44,50
"46","SLC7A2",0,0,26,2,0
"47","ARF5",6255,5410,4340,4840,5100
"48","SARM1",365,401,416,277,379
"49","POLDIP2",9583,6241,5971,5242,6256
"50","PLXND1",13835,6629,17791,7939,12422
"51","AK2",7029,5208,4887,4489,5664
"52","CD38",2,0,6,0,4
"53","FKBP4",2665,2591,2313,1784,2782
"54","KDM1A",5423,3601,3741,3173,5015
"55","RBM6",4626,5848,4005,4088,3469
"56","CAMKK1",1758,296,730,543,1814
"57","RECQL",5507,3641,3797,3150,3378
"58","VPS50",1430,1325,1166,1141,1200
"59","HSPB6",5776,4722,8339,4652,1139
"60","ARHGAP33",1188,235,141,215,332
"61","NDUFAB1",2675,2344,2506,1688,2420
"62","PDK4",2,32,0,15,2
"63","SLC22A16",0,0,0,0,0
"64","ZMYND10",93,53,39,41,23
"65","ABCB5",0,0,2,0,2
"66","ARX",0,0,0,0,0
"67","SLC25A13",1131,677,734,680,768
"68","ST7",828,1308,710,706,578
"69","ST7-OT3",828,1308,710,706,578
"70","CDC27",9369,5614,6229,4964,6167
"71","SLC4A1",0,0,0,0,0
"72","CALCR",0,0,0,0,0
"73","HCCS",2047,2399,2070,1428,1643
"74","DVL2",5420,6003,4268,3745,3840
"75","PRSS22",0,0,0,0,0
"76","UPF1",10133,8421,8160,6710,5431
"77","SKAP2",3372,2516,1809,1698,712
"78","SLC25A5",10693,5250,5814,4962,7024
"79","MCUB",2399,1610,1323,1261,936
"80","HOXA11",775,497,375,648,41
"81","POLR2J",4790,3418,3212,2792,3154
"82","DHX33",2976,1563,1235,1204,1664
"83","MEOX1",4,0,2,0,4
"84","THSD7A",64,8,9,8,0
"85","LIG3",1741,979,1033,945,1583
"86","RPAP3",2195,1771,1690,1435,2001
"87","ACSM3",8,7,5,2,5
"88","REXO5",921,211,191,190,187
"89","CIAPIN1",2102,2046,2105,1399,1887
"90","SPPL2B",2176,2168,1761,1698,1781
"91","FAM214B",3913,2732,2913,1893,3232
"92","COPZ2",7669,9564,9800,7040,6980
"93","PRKAR2B",1385,312,177,320,245
"94","MSL3",1727,1540,1600,1401,1689
"95","CREBBP",6711,7636,5212,5035,5002
"96","TSPOAP1",565,78,34,448,352
"97","MPO",0,2,0,0,2
"98","PON1",0,0,0,0,0
"99","GCFC2",929,765,474,579,546
"100","WDR54",1413,607,528,508,567
"101","CROT",1089,1019,864,693,773
"102","ABCB4",73,64,62,50,312
"103","KMT2E",4059,3821,3028,2854,3755
"104","RHBDD2",2782,2050,2723,2119,1866
"105","SOX8",48,14,2,16,2
"106","IBTK",5954,5524,5136,4618,5889
"107","ZNF195",965,595,703,715,855
"108","MYCBP2",6771,7853,9493,8494,6212
"109","FBXL3",3237,2910,2192,2310,2385
"110","ITGAL",6,0,5,8,8
"111","PDK2",1068,1146,954,918,794
"112","ITGA3",19445,3450,8908,4037,15438
"113","ZFX",1871,2156,1526,1590,1629
"114","LAMP2",16205,21857,18968,16852,17799
"115","ITGA2B",8,2,2,10,4
"116","ASB4",0,0,0,0,0
"117","GDE1",3628,4549,4598,3426,3471
"118","REX1BD",2299,1639,1769,1591,1717
"119","CRLF1",2331,170,1300,318,89
"120","OSBPL7",698,267,284,272,489
"121","TMEM98",5972,6982,6256,5983,4493
"122","YBX2",0,0,0,2,0
"123","KRT33A",0,0,0,0,0
"124","MAP3K14",692,408,320,211,818
"125","ABCC8",10,0,0,0,0
"126","CACNG3",0,0,0,0,0
"127","TMEM132A",644,802,677,896,2195
"128","AP2B1",20371,14193,14634,13780,13412
"129","TAC1",0,0,130,4,2
"130","ZNF263",1843,1871,1793,1530,1832
"131","CX3CL1",0,0,0,0,0
"132","SPATA20",6625,6244,4974,5954,3422
"133","CACNA1G",43,398,105,106,6
"134","TNFRSF12A",29287,13021,15123,10480,17041
"135","DLX6",0,0,0,0,0
"136","MAP3K9",10,0,10,0,24
"137","RALA",8518,5837,6322,6351,7481
"138","BAIAP2L1",297,659,209,256,564
"139","KDM7A",559,920,543,676,615
"140","ETV1",2281,751,380,1404,312
"141","AGK",1719,1071,1046,900,1218
"142","ALDH3B1",6152,3811,3952,5089,4305
"143","TTC22",0,0,0,0,0
"144","PHTF2",5380,4692,4488,2810,3078
"145","CCL26",102,12,12,50,56
"146","FARP2",3698,2725,3128,3064,3511
"147","USH1C",0,0,0,0,0
"148","GGCT",637,538,523,602,617
"149","DBF4",1863,395,372,421,647
"150","TBXA2R",509,197,243,166,224
"151","IFRD1",3329,4374,4758,3378,3785
"152","LGALS14",0,0,0,0,0
"153","COX10",1083,872,722,626,822
"154","GTF2IRD1",1519,766,885,721,1047
"155","PAF1",5817,3964,3804,2985,3225
"156","VPS41",3432,5072,5300,3817,4453
"157","ARHGAP44",174,132,134,91,95
"158","ELAC2",5797,3445,3268,2591,3155
"159","SCIN",960,799,4674,2091,6769
"160","ARSD",1055,1040,820,968,925
"161","PNPLA4",566,764,924,528,323
"162","MYH13",0,3,0,2,0
"163","ADIPOR2",5721,5297,4683,4113,4820
"164","CDKL3",58,64,34,49,73
"165","UPP2",10,7,1,4,2
"166","PRSS21",0,0,2,2,2
"167","MARK4",2762,3134,2787,2036,2834
"168","PROM1",0,12,0,6,0
"169","CCDC124",5938,3824,3758,3333,5087
"170","CEACAM21",0,0,1,0,0
"171","PAFAH1B1",12125,11256,10185,8269,10090
"172","NOS2",0,0,2,0,0
"173","DNAH9",0,4,0,0,4
"174","KIAA0100",10250,10137,9894,7659,7555
"175","SLC13A2",0,0,0,0,0
"176","GAS7",1748,3804,850,1899,234
"177","TRAPPC6A",318,786,615,697,413
"178","MATK",0,0,0,2,0
"179","CEACAM7",0,0,0,0,0
"180","CD79B",0,0,0,8,0
"181","SCN4A",0,0,0,0,0
"182","ST7L",870,1137,673,829,767
"183","TKTL1",0,0,0,0,0
"184","PAX6",12,56,82,57,140
"185","RPUSD1",1779,1026,1301,867,1222
"186","RHBDF1",4313,5992,5485,4067,2942
"187","LUC7L",2907,2489,2201,2097,2056
"188","CACNA2D2",37,27,38,35,42
"189","BAIAP3",10,11,12,4,10
"190","TSR3",3900,2499,2527,2086,3023
"191","PIGQ",1686,1507,1306,1014,1219
"192","CRAMP1",874,823,530,620,550
"193","TEAD3",2511,3236,3131,2314,3877
"194","SELE",0,0,0,0,0
"195","DNAJC11",3109,2181,2035,1607,2337
"196","FMO3",2,2,8,0,0
"197","MYLIP",547,598,605,510,464
"198","NOX1",10,11,5,4,11
"199","E2F2",316,86,69,77,108
"200","PSMB1",9831,7228,7638,7772,8477
"201","SYN1",38,58,78,6,55
"202","JARID2",1167,814,548,796,859
"203","CDKL5",930,731,592,508,1044
"204","CAMK1G",223,2,30,6,30
"205","CDK11A",54,58,42,31,36
"206","NADK",5417,4538,3939,3132,3183
"207","TFAP2B",0,0,0,0,0
"208","TFAP2D",0,0,0,0,0
"209","DLEC1",6,20,24,10,9
"210","CYTH3",14661,10553,10909,6915,9365
"211","ADAM22",25,28,20,15,15
"212","SYPL1",8633,6213,5340,5195,4904
"213","CYB561",4075,1831,2022,2376,1912
"214","SPAG9",20519,9808,10553,9353,10760
"215","CELSR3",172,150,143,354,223
"216","AASS",799,1458,1079,856,880
"217","PLEKHG6",26,36,44,25,24
"218","SS18L2",835,717,582,508,630
"219","MPND",407,321,228,375,273
"220","MGST1",9874,12920,16661,11178,5477
"221","CRY1",1475,1167,933,822,1498
"222","PGLYRP1",13,8,6,2,10
"223","NFIX",34523,41260,28007,26620,19438
"224","ST3GAL1",7274,4836,2819,2960,6325
"225","MMP25",16,29,23,16,15
"226","IL32",48,225,200,199,161
"227","PKD1",11291,13474,10744,8305,8459
"228","MAPK8IP2",18,118,26,66,60
"229","MED24",3949,2862,2704,2341,2865
"230","RHOBTB2",1909,1012,1275,982,948
"231","HEATR5B",2493,1986,1792,1738,1771
"232","SEC62",9517,12536,10708,9667,9151
"233","RPS20",38044,39956,33757,30713,36832
"234","CSDE1",40451,41535,38368,32036,34162
"235","UBE3C",11838,7726,7622,6421,8281
"236","REV3L",6262,17199,4825,12685,4481
"237","TENM1",0,0,0,2,2
"238","PAX7",0,0,0,0,0
"239","MASP2",112,93,59,48,70
"240","IYD",0,0,0,0,0
"241","FAM76A",950,718,590,575,698
"242","TRAF3IP3",1,2,3,0,6
"243","POMT2",1946,1841,1731,1449,1877
"244","VTA1",4984,3715,3074,3086,4003
"245","MLXIPL",0,8,2,2,0
"246","BAZ1B",11307,7775,6545,5924,6357
"247","RANBP9",3935,4248,3383,2982,3923
"248","ETV7",0,101,61,30,24
"249","SPRTN",1174,702,859,572,869
"250","EEF1AKNMT",3996,3960,2474,2575,2324
"251","DYRK4",945,719,873,551,835
"252","ZNF207",8894,6059,5666,5543,6330
"253","UQCRC1",8392,4946,5795,5046,7141
"254","STARD3NL",2514,1810,1913,1527,1960
"255","CD9",1893,2101,2721,292,1249
"256","HHATL",0,0,0,0,0
"257","NCAPD2",11419,3240,2577,2581,3424
"258","IFFO1",5231,4498,3872,3840,2422
"259","GIPR",161,72,83,52,145
"260","PHF7",503,319,260,295,188
"261","SEMA3G",14,8,12,4,4
"262","NISCH",5425,8386,6987,5403,4998
"263","STAB1",0,0,1,6,0
"264","FUZ",709,542,407,350,364
"265","SLC6A13",2,0,2,0,0
"266","IDS",3613,4729,5063,4308,2775
"267","PRSS3",89,157,110,13,2
"268","ZNF200",597,417,430,358,373
"269","CD4",46,38,73,34,71
"270","LRRC23",293,352,363,216,313
"271","BTK",0,0,0,2,0
"272","HFE",1868,1631,1373,1611,1148
"273","SCMH1",2642,2088,1609,1412,2174
"274","FYN",7770,6996,4009,3771,4450
"275","HIVEP2",5898,4531,2956,3611,3762
"276","FMO1",2,11,72,4,0
"277","ELOA",3682,2849,2639,1892,3177
"278","LYPLA2",2458,1964,2370,1373,2296
"279","CLCN6",2329,2300,1981,1832,2242
"280","MRC2",47718,59979,52579,49456,36036
"281","NME1-NME2",0,0,0,0,0
"282","SLC6A7",2,0,0,0,0
"283","TSPAN9",1201,2043,2116,2120,1949
"284","BTBD7",4656,3609,3131,2959,3382
"285","APBA3",730,780,592,553,672
"286","MKS1",739,445,428,389,372
"287","ABHD5",2806,2802,1802,2316,1268
"288","ANOS1",0,0,4,0,12
"289","AKAP8L",1351,1266,1313,902,1248
"290","MBTD1",811,1024,808,741,761
"291","UTP18",2706,1949,1797,1434,1870
"292","RNF216",4182,4658,4101,3116,4216
"293","TTC19",1925,2030,2078,1628,1686
"294","PTBP1",32032,17826,15054,14316,19083
"295","DPF1",445,149,120,104,196
"296","SYT7",8,64,14,72,0
"297","LARS2",2356,1369,1527,1041,1375
"298","PIK3C2A",4202,5605,4762,3555,4143
"299","PLAUR",4205,2157,2156,2249,3989
"300","ANLN",20984,1931,1859,2248,4901
"301","WIZ",6046,6295,5559,4265,4702
"302","GPR21",4752,12051,10260,5689,4904
"303","RABGAP1",4752,12051,10260,5689,4904
"304","DCN",49939,386899,109559,194425,38942
"305","QPCTL",958,592,913,644,1055
"306","PPP5C",6874,3674,3633,4176,3691
"307","CEP68",1273,1540,968,979,910
"308","MAP4K3",2460,2560,1866,1446,1950
"309","ZBTB32",16,27,36,21,4
"310","TYROBP",0,0,0,2,0
"311","TMEM159",1153,1669,2035,1424,1095
"312","GABRA3",0,0,0,0,2
"313","BRCA1",2846,743,491,495,845
"314","ERCC1",3410,3241,2900,2732,3367
"315","CD22",83,4,2,11,6
"316","SEMA3B",1071,3037,1586,821,838
"317","MBTPS2",3057,2785,2184,2196,2303
"318","PRICKLE3",563,562,475,411,495
"319","LTF",0,0,0,0,0
"320","EXTL3",7647,5065,4255,3446,4786
"321","NR1H4",0,0,1,0,0
"322","ELOVL5",11465,8887,7801,6623,10014
"323","ALOX5",4,0,0,2,0
"324","KDM5D",2570,3089,2472,2158,2253
"325","CALCOCO1",6118,12133,9386,8077,4993
"326","UBR7",2835,1488,1275,899,1271
"327","MAP4K5",6086,6048,5422,4237,7114
"328","EHD3",5182,1655,2351,2300,3785
"329","PSMC4",6676,4304,4916,3462,5046
"330","MAN2B2",5760,7348,9267,5331,6731
"331","SLC7A14",123,810,298,707,420
"332","CLDN11",19363,41608,14239,44515,29443
"333","SLC25A39",6154,4158,5043,3533,4550
"334","MVP",16000,16046,17417,14735,13683
"335","NUB1",3263,3855,2990,2737,3052
"336","PGM3",4869,4229,5804,4212,6175
"337","RWDD2A",371,596,717,400,512
"338","CLK1",3963,4867,3687,4704,3055
"339","POLR3B",1606,968,1081,907,1022
"340","ANGEL1",599,1213,1061,667,849
"341","RNF14",3048,3333,3218,2205,3070
"342","DNASE1L1",701,268,296,328,523
"343","DDX11",1699,541,441,439,1287
"344","HEBP1",3154,5133,3664,3241,2617
"345","GPRC5A",382,783,1832,136,106
"346","MAMLD1",3328,6340,2671,4674,2095
"347","CD6",10,6,8,8,10
"348","TACC3",8639,1192,1024,1072,2276
"349","UFL1",3611,3175,3051,2968,2940
"350","POLA2",436,134,166,127,160
"351","ZC3H3",1241,1049,720,787,857
"352","CAPN1",14816,10331,11008,7602,8931
"353","ACPP",6,0,0,0,0
"354","MDH1",8175,5967,6304,5511,6146
"355","SLC30A9",5459,4646,4408,3486,4752
"356","MTMR11",1915,1178,828,921,666
"357","COX15",1121,1038,825,591,698
"358","CCDC88C",14,8,10,2,8
"359","YAF2",1097,1004,1379,949,1093
"360","ZMYND11",6982,6756,4793,4992,5143
"361","WAS",33,9,7,17,8
"362","DPEP1",2,6,27,8,8
"363","BID",811,892,1485,1092,1108
"364","MATR3",223,168,204,149,154
"365","NPC1L1",0,0,8,0,0
"366","XYLT2",3371,2347,2572,1931,2684
"367","RGPD5",14,20,10,10,20
"368","STMN4",0,0,0,0,0
"369","NUDCD3",6992,5439,5021,3708,4545
"370","ISL1",0,0,0,0,2
"371","CHDH",141,144,24,529,7
"372","IL20RA",10,38,6,12,40
"373","CLCA1",0,0,0,0,0
"374","CLCA4",0,0,0,0,0
"375","GLT8D1",4117,5113,4860,4195,4016
"376","ATP2C1",8634,8242,7634,6690,8734
"377","IGF1",0,19,0,6,0
"378","SLC38A5",1963,1093,830,1825,753
"379","RALBP1",9490,8136,6544,5446,6887
"380","RUFY3",2689,3136,2847,1928,1821
"381","CNTN1",20,0,6,28,0
"382","SLC11A1",64,8,30,16,16
"383","WWTR1",3770,6121,5512,3981,4857
"384","AGPS",5701,4364,3538,2929,5117
"386","CXorf56",1496,1526,1223,1069,1167
"387","ATP1A2",0,4,0,2,4
"388","TTC27",1673,1484,1017,1099,1211
"389","ZNF582",147,164,278,144,119
"390","VSIG2",6,0,0,4,3
"391","PHLDB1",9336,9254,8403,5804,5829
"392","MARCO",0,4,0,1,0
"393","CYP24A1",42,88,103,14,0
"394","PRDM11",255,454,464,271,559
"395","SYT13",0,0,0,0,0
"396","SNAI2",12471,8425,6898,8272,16022
"397","CD74",42,477,134,206,38
"398","HGF",226,1271,1256,622,48
"399","ZRANB1",1004,1366,1118,864,1079
"400","NCDN",2746,2729,3726,2041,2844
"401","ADGRA2",24318,25043,22539,24499,14236
"403","ZFP64",1003,1133,1233,891,1225
"404","MNAT1",1548,939,1006,800,1077
"405","SAMD4A",5588,6693,5792,4708,7122
"406","RUNX3",233,296,30,138,1148
"407","MRE11",2233,1111,900,1168,1080
"408","PLEKHB1",28,26,25,22,22
"409","SERPINB1",2614,2596,1449,1866,1635
"410","CYP3A43",0,0,0,0,0
"411","SLC7A9",0,2,0,0,3
"412","SPAST",1110,1287,940,926,1222
"413","NRXN3",0,0,171,2,96
"414","OSBPL5",4348,2809,2757,3144,3201
"415","AQR",4533,3662,2589,2474,2852
"416","CPS1",806,745,1141,424,777
"417","C8B",0,0,5,0,0
"418","FHL1",11983,36615,25899,13208,6238
"419","RTF2",7182,7013,5484,5478,5807
"420","GABRA1",0,0,0,0,0
"421","NLRP2",0,0,0,0,0
"422","SLC45A4",330,572,472,346,300
"423","RNF10",6837,8115,7229,5650,6190
"424","ZNF839",539,352,311,216,340
"425","ZDHHC6",2982,2338,1999,2018,2149
"426","GRAMD1B",3081,875,1128,1190,1320
"427","RNH1",30836,23617,21717,22839,14021
"428","NDUFS1",8186,6016,5314,4902,6565
"429","RB1CC1",3397,4596,3306,3135,3399
"430","ERP44",3405,4377,3971,3573,4091
"431","ALAS1",3530,2478,3163,1931,2555
"432","BIRC3",40,76,85,50,166
"433","AKAP11",6123,5580,4735,4258,4159
"434","GLRX2",1924,1471,1410,1104,1559
"435","SNAPC1",750,1297,480,769,762
"436","DERA",2341,1796,1540,1471,2065
"437","STRAP",9428,7428,8794,6119,8913
"438","ABCC2",58,14,24,20,23
"439","DEF6",67,10,40,22,68
"440","PLEKHO1",5349,2168,2831,2669,6225
"441","GCLM",3299,5018,3364,2192,3438
"442","UBR2",2979,3614,2750,2702,2556
"443","EHD2",36057,40698,38146,25051,26908
"444","DEPDC1",3999,409,364,455,563
"445","CCDC28A",661,826,601,595,422
"446","RRAGD",72,396,200,116,74
"447","HSF2",1119,865,705,722,923
"448","PHF20",4226,4267,3445,2510,3331
"449","HSD17B6",55,28,12,18,77
"450","NR1H3",317,561,551,387,233
"451","TYMP",233,685,180,407,271
"452","NCAPH2",3774,1171,1200,1112,1871
"453","TOMM34",4901,1640,2468,1856,1848
"454","SEC63",7744,10582,9214,8232,8325
"455","KPNA6",7017,6659,6073,4769,5080
"456","VIM",235037,64355,65343,149241,120119
"457","RTEL1-TNFRSF6B",301,176,217,206,110
"458","FAS",4031,4082,2825,3578,2767
"459","RNASET2",330,900,1634,567,729
"460","CD44",72096,20813,25570,26588,32533
"461","KCNG1",531,278,87,360,602
"462","AGPAT4",1406,1246,893,1055,1031
"463","SLAMF7",0,0,2,0,0
"464","BTN3A1",1142,1679,1073,1180,1344
"465","MIPEP",1153,839,1267,589,846
"466","PRKCH",24,116,29,50,30
"467","INSRR",18,26,46,12,0
"468","IFNGR1",2554,3181,2585,2530,2059
"469","B4GALT7",1556,1698,1896,1261,1523
"470","SH2D2A",8,12,40,4,17
"471","VRK2",1570,1028,808,782,757
"472","TNFRSF1B",1452,249,259,557,611
"473","VEZT",3355,3259,2990,2493,3320
"474","POU2F2",233,427,756,361,1472
"475","BRD9",3720,2412,1957,2086,2200
"476","SNX1",9890,9688,8113,7620,6615
"477","TBPL1",950,888,876,635,786
"478","ARNTL2",3817,678,988,778,1763
"479","BCLAF1",10991,8037,7204,6554,8094
"480","SLC39A9",3679,3633,3652,2742,3402
"481","ANK1",482,206,84,342,100
"482","IBSP",0,0,2,0,4
"483","TFB1M",897,438,315,351,441
"484","RABEP1",5114,5521,4575,4481,4020
"485","HMGB3",5360,1167,1636,1119,2355
"486","NUP160",4113,2562,1674,1720,2085
"487","BAK1",1543,1245,1174,1112,1755
"488","MUSK",26,17,4,13,18
"489","IKZF2",818,1057,943,798,123
"490","GRN",19136,32380,34097,28183,20038
"491","FAM13B",3740,4253,3087,2600,2446
"492","ARHGAP31",5222,3064,6575,2703,4920
"493","CENPQ",723,199,338,247,417
"494","SARS1",11599,21603,16809,15287,20121
"495","RANBP3",4734,4178,3697,2977,3416
"496","ARID4A",1282,1759,1339,1469,1236
"497","EIPR1",2004,1221,1335,1129,1349
"498","PNPLA6",5544,4524,5168,3499,3964
"499","IFT88",727,726,552,600,554
"500","ALG1",1696,1288,1418,1289,1415
"501","ZCCHC8",1680,1379,838,990,1136
"502","ABCF2",1254,1021,996,690,777
"503","CHPF2",8754,7824,10407,7623,5369
"504","LRRC7",36,22,23,27,36
"505","FUT8",5685,4448,3868,4067,2341
"506","UBA6",3693,3682,2803,2611,3859
"507","GAB2",1550,2275,1692,826,1107
"508","ATP6V0A1",1983,3461,3939,2251,2370
"509","PIAS1",2047,1803,1408,1344,1530
"510","SLC4A7",3750,3948,5630,2599,4477
"511","APBA2",66,28,285,116,453
"512","MAP2K3",10868,6972,8705,5468,7383
"513","EFCAB1",44,34,15,12,10
"514","TMSB10",169924,61474,84808,78769,131075
"515","ASTE1",496,387,343,373,302
"516","RNF19A",2830,2803,2010,2228,2585
"517","PEX3",1327,1228,1108,822,864
"518","GABARAPL2",3048,4401,4052,3377,3064
"519","MYOC",0,16,60,10,2
"520","SH3YL1",1023,1814,1479,1209,1449
"521","FAM136A",2440,2075,1688,1372,1989
"522","VCL",40421,24307,37832,26232,38055
"523","DEPDC1B",780,122,100,96,223
"524","DAPK2",602,3166,546,970,166
"525","NSMAF",4752,5665,4664,4551,4148
"526","ADSS2",4196,2929,2876,2427,3214
"527","STAP1",0,0,0,2,0
"528","TIMP2",68616,86611,84057,67623,60153
"529","RFC1",4435,3198,3097,2728,3044
"530","TBC1D23",3967,2941,2676,2584,3631
"531","CUL3",4189,3870,3075,2628,3232
"532","MYOM2",50,86,101,165,46
"533","OTC",0,0,0,0,0
"534","CYP46A1",41,18,34,31,61
"535","ZZZ3",3613,3562,3202,2763,3543
"536","SLC18A1",0,0,0,0,0
"537","USP2",14,64,41,20,43
"538","CASR",0,0,0,0,0
"539","TUBG2",1903,1443,1638,1208,1072
"540","RPL26L1",4128,1699,1619,1659,2259
"541","FLT4",2,0,10,0,0
"542","NSUN2",5931,3773,3711,3484,5195
"543","FBXO42",1401,1726,1503,987,1122
"544","MFAP3",1887,2152,1608,1561,1589
"545","MRI1",1409,1567,1117,594,1178
"546","METTL1",992,485,579,493,754
"547","HOXC8",2682,5050,3409,2680,3267
"548","AGA",1766,1442,2131,1310,926
"549","PI4K2B",2280,968,938,1053,1265
"550","BOD1L1",5056,4884,3770,3816,4125
"551","MAT2B",3931,3390,2986,2954,3170
"552","TLL1",0,16,20,0,0
"553","EDC4",3364,2110,2289,1854,2624
"554","TRIO",33892,17423,15480,19347,22137
"555","VCAN",35204,74781,64824,33235,29141
"556","CLEC16A",2067,1514,1387,1016,1431
"557","MSR1",7,73,154,17,25
"558","CDH1",13,22,37,16,8
"559","MTREX",4217,3524,2810,2468,3320
"560","DNAH5",176,73,108,130,94
"561","ZFYVE16",3797,3873,2891,2753,2831
"562","RIPOR1",6330,4272,4178,3141,3727
"563","C6",0,0,0,0,0
"564","RAI14",8118,8696,9810,7478,9453
"565","SOX30",7,16,22,14,18
"566","PNKP",2178,1852,1752,1487,1531
"567","BEST2",0,4,4,0,1
"568","PHLPP2",3200,1579,1251,1367,1810
"569","SPDL1",9395,4468,2209,3695,3002
"570","STAU2",1153,1285,1058,621,1087
"571","SLC66A1",1478,1424,1458,1227,1132
"572","CTNS",1539,2263,2323,1518,1170
"573","RTN4R",26,10,2,8,12
"574","PHF23",3555,3793,3195,2909,3693
"575","CDH10",128,725,292,268,0
"576","INPP4A",2187,2530,2153,1459,1894
"577","RAB27B",396,355,487,95,141
"578","PSMA4",10677,7965,6943,6373,8987
"579","MYO16",6,43,12,28,15
"580","LSG1",3605,2604,2380,2066,2612
"581","PARP3",3640,2289,1721,2408,1280
"582","TNC",48779,77482,22285,147975,59189
"583","THAP3",768,807,731,546,535
"584","RIPOR3",57,856,103,717,23
"585","TDP1",1551,569,647,553,655
"586","AIFM2",2089,4073,1699,1566,1705
"587","C2orf83",0,0,0,0,0
"588","SPATA7",399,332,460,423,250
"589","MED17",316,252,201,222,271
"590","RETSAT",2805,4393,3481,3369,2355
"591","CAPG",7089,7239,6056,10111,6849
"592","AP2S1",17912,9733,12712,9822,12535
"593","USH2A",4,30,70,54,8
"594","ZPBP",0,0,0,0,0
"595","TG",8,36,71,21,56
"596","ADAM28",41,21,42,2,139
"597","BARX2",0,0,0,0,0
"598","DCUN1D1",2546,2849,2156,1866,2301
"599","JADE2",3256,2561,1898,1869,1132
"600","ZIC2",0,0,0,0,0
"601","LCP2",2,3,4,2,2
"602","TRIT1",1011,924,854,609,860
"603","ADRB1",4,0,0,0,2
"604","GUCA2B",0,0,0,0,0
"605","CUL7",4558,4571,4676,3481,3856
"606","CTNNA1",28225,25398,21536,19100,21917
"607","PHKA2",1274,1031,1063,779,978
"608","CNTLN",1692,1046,859,908,867
"609","EPHA3",282,11,44,25,304
"610","HSPA5",46943,42397,37444,31656,65391
"611","DSG2",0,551,40,0,1608
"612","GEMIN8",554,739,498,599,742
"613","OFD1",725,1023,742,826,722
"614","GPM6B",68,92,84,85,77
"615","MAGEC2",2,0,0,4,0
"616","PREX2",50,142,111,34,0
"617","WDR37",2699,1907,1844,1513,1698
"618","YTHDC2",2791,2672,2635,1912,2088
"619","CTPS2",1041,834,652,561,711
"620","ATP6V1H",3249,3128,2930,2182,2107
"621","POLR2B",8501,6747,5869,5775,6382
"622","FAM214A",1086,1926,1666,1296,1161
"623","ARAP2",0,2,0,2,0
"624","TPR",11567,9175,7008,6921,6768
"625","CP",3,2,2,2,0
"626","KIAA0556",1840,1890,1852,1387,1538
"627","DTNBP1",1126,1103,875,884,806
"628","XK",0,0,0,0,0
"629","ANO2",0,4,2,18,8
"630","C12orf4",1856,1617,1260,1180,1399
"631","SCML1",2332,2170,1646,1348,1574
"632","WWC3",2979,3112,3255,1558,2714
"633","ARHGAP6",299,352,144,115,70
"634","FAM184B",18,56,15,5,13
"635","MAP4",47417,31715,32992,26477,34866
"636","GOPC",5234,4930,6903,3981,8500
"637","ROS1",13,20,58,5,33
"638","USP28",1504,1534,1323,1217,1124
"639","HDAC9",1981,1748,2706,2101,2867
"640","TSPAN17",5299,4662,4754,3430,4001
"641","NOP16",974,651,764,582,958
"642","CC2D2A",1725,598,1070,769,1405
"643","RRM2B",3280,5562,3688,3160,3153
"644","ZNF800",1378,1291,1115,957,1055
"645","TNFRSF17",0,0,0,2,6
"646","SNX29",4154,4031,2795,3199,2320
"647","LMO3",24,19,10,22,0
"648","MRPS10",3461,3381,3179,2419,2480
"649","GUCA1A",24,0,4,2,2
"650","RSF1",3142,3473,2781,2408,2932
"651","VPS13D",4277,5249,4259,3682,3014
"652","CELF2",1837,9305,822,4953,2271
"653","FAM120A",14304,11245,9329,8895,10183
"654","R3HDM1",2431,1572,1495,1306,1728
"655","COL9A2",191,99,64,114,114
