"","SYMBOL","HH07","HH17","HH18","HH19","HH27"
"4673","LGALS8",2047,2441,2487,2329,1728
"4674","NT5C1A",0,0,0,0,0
"4675","HPCAL4",0,4,0,0,0
"4676","MTR",5033,4402,3859,3833,3192
"4677","BMP8B",10,12,0,13,29
"4678","MYCL",24,24,16,4,2
"4679","SIPA1L2",655,1757,612,977,1139
"4680","ZP4",0,0,0,0,2
"4681","RLF",1597,1455,1210,1148,1524
"4682","KMO",4,0,0,0,2
"4683","ZNF684",291,198,143,126,187
"4684","KCNQ4",8,4,0,0,10
"4685","RIMS3",6,56,16,10,59
"4686","AKT3",5628,4868,4180,3390,5878
"4687","ETV3",2572,2384,2019,1865,2140
"4688","ACADM",2687,2237,2188,1874,2272
"4689","ST6GALNAC5",1454,274,316,815,453
"4690","SLAMF1",0,0,0,0,0
"4691","CD48",0,2,2,4,0
"4692","ADGRL2",4351,1887,3637,1099,2417
"4693","PADI2",2,10,160,2,22
"4694","SDHB",3565,2702,2383,2239,2734
"4695","MFAP2",5130,6722,8205,6714,12565
"4696","RPF1",2674,1704,1505,1714,2088
"4697","KDM5B",3208,5481,3942,3767,4622
"4698","UAP1",14887,6186,5576,5310,7854
"4699","ACTL8",6,2,2,4,2
"4700","CTBS",363,524,537,432,221
"4701","RGS4",4110,336,2338,444,906
"4702","KLHL12",3037,2963,2473,2123,2003
"4703","IGSF21",0,0,0,0,0
"4704","SSX2IP",7517,662,804,983,674
"4705","ZNHIT6",2760,3157,3227,2225,2393
"4706","PLA2G2D",0,0,0,0,0
"4707","RBBP5",1723,1599,1311,960,1142
"4708","GBP3",4077,2883,1359,1607,1096
"4709","GBP1",2238,1783,2026,2098,2130
"4710","PINK1-AS",218,323,289,272,271
"4711","KIF17",189,89,98,95,92
"4712","GPR89A",823,449,491,489,556
"4713","CDK18",10,2,20,2,12
"4714","RAB29",1453,4455,3178,2808,1969
"4715","CD160",52,48,34,43,39
"4716","ECE1",19198,15576,11941,10658,6564
"4717","HMGCL",2492,2777,2574,2247,1898
"4718","GALE",1600,668,927,664,936
"4719","ID3",19392,3974,4619,1184,11108
"4720","CR2",0,0,2,0,0
"4721","CD46",9293,12575,10072,9030,7509
"4722","PRPF3",3157,1973,1881,1880,2198
"4723","APH1A",8961,7818,6460,6068,6311
"4724","P3H1",9266,10320,10055,11338,18783
"4725","SLC2A1",2513,2545,4567,2540,8945
"4726","EBNA1BP2",5486,2661,2920,2138,3175
"4727","CDC20",10006,665,777,861,1981
"4728","MPL",1,0,0,2,6
"4729","ARTN",58,16,11,10,8
"4730","IPO13",2964,2864,1815,1910,1869
"4731","ATP6V0B",5800,3900,4668,3476,4860
"4732","B4GALT2",10693,8530,7924,6526,7970
"4733","ERI3",3204,2828,2501,2090,3024
"4734","PTCH2",119,83,43,52,41
"4735","AKR1A1",4096,4203,4751,3275,4730
"4736","PRDX1",23270,16810,18460,14083,21530
"4737","PIK3R3",505,253,815,321,535
"4738","TSPAN1",14,16,56,20,18
"4739","BLZF1",2814,2303,1892,1746,2325
"4740","CCDC181",20,17,14,1,12
"4741","SLC19A2",474,810,506,396,564
"4742","FAAH",62,63,57,52,18
"4743","NSUN4",1431,1329,1035,984,1132
"4744","TMED5",3808,3186,3024,2810,2214
"4745","MROH9",0,0,10,1,7
"4746","DR1",8298,5450,4881,4249,6164
"4747","FMO6P",0,0,0,2,1
"4748","CNN3",17284,19526,17725,14860,16876
"4749","PRRC2C",13536,12493,10837,9390,10612
"4750","F3",6758,16884,4793,12887,1587
"4751","ABCD3",3768,2196,2185,1989,2687
"4752","VAMP4",2275,3966,1541,2485,1599
"4753","DPH5",1374,1564,1348,1219,1373
"4754","FASLG",0,0,0,0,0
"4755","PTBP2",916,673,483,779,748
"4756","TNFSF4",456,324,466,134,152
"4757","PRDX6",14170,13857,15575,11000,21401
"4758","DARS2",2418,1123,929,916,1246
"4759","HSD11B1",24,14,110,2,0
"4760","IRF6",68,30,6,4,30
"4761","UTP25",5015,2054,2392,1618,1695
"4762","PLPPR5",0,0,0,0,0
"4763","PLPPR4",1016,214,1949,665,254
"4764","SERPINC1",0,0,8,0,0
"4765","RCAN3",2869,916,779,732,1394
"4766","SYF2",3911,5279,3324,4147,3352
"4767","RSRP1",6438,6385,4305,4637,3700
"4768","SLC35A3",1413,1860,1375,1018,1283
"4769","RCOR3",1781,2734,2226,2382,2266
"4770","STMN1",23178,2732,2959,3830,8567
"4771","MTFR1L",1731,1744,1803,1182,1392
"4772","MAN1C1",647,3622,1173,2454,53
"4773","NEK2",3251,233,212,289,546
"4774","RPS6KA1",79,59,48,34,60
"4775","DHDDS",3217,2433,3240,2260,2950
"4776","NENF",2453,2398,2582,2400,2242
"4777","NSL1",2103,1500,1146,1383,1318
"4778","PROX1",10,29,8,12,10
"4779","ARID1A",7061,4586,3370,2811,4865
"4780","CENPF",16252,1820,1475,2006,4124
"4781","RPA2",2397,1622,1665,1117,1017
"4782","PPP1R8",4483,3288,2783,2506,3054
"4783","STX12",4526,4574,5271,3670,4265
"4784","MARC2",264,287,285,112,163
"4785","SLC5A9",2,2,4,8,0
"4786","OSBPL9",3386,3252,3293,2174,3560
"4787","TXNDC12",925,1646,1151,797,872
"4788","ESYT2",9801,12281,8481,8484,9299
"4789","CD3EAP",341,154,232,107,281
"4790","MESD",4835,4322,4152,3660,3814
"4791","RCN2",8526,7577,6498,5607,5874
"4792","CHRNB4",0,0,0,0,0
"4793","MUC5B",2,1,0,5,8
"4794","CTSD",4567,7234,8656,5528,7130
"4795","COLEC11",0,6,4,0,18
"4796","STAG1",5122,4634,3568,3557,3753
"4797","A4GNT",17,16,25,2,4
"4798","STK11",4525,3980,3500,2890,3470
"4799","KMT2A",4143,4841,3505,3133,3434
