"","gene","hgnc_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSG00000005379","TSPOAP1",294.606510006916,-2.70054363678371,0.376601267262485,-7.14810654666473,8.79830132881453e-13,2.62717277678402e-09
"2","ENSG00000006606","CCL26",45.1686174728517,-2.06688739140432,0.438181789225501,-4.63491647158859,3.57081636768091e-06,0.00113086672298889
"3","ENSG00000012171","SEMA3B",1433.45706602634,1.18044998217311,0.309161786477204,3.81629699777742,0.000135469431277469,0.0199407186800117
"4","ENSG00000013588","GPRC5A",639.874694509289,2.13689635018135,0.480356894197167,4.4202606205005,9.85819351695129e-06,0.00245304715346805
"5","ENSG00000026025","VIM",124705.146979282,-1.29944736436549,0.280373285401729,-4.63656445932291,3.54247757361019e-06,0.00113086672298889
"6","ENSG00000028137","TNFRSF1B",599.785051455419,-1.54871736416895,0.365990009240939,-4.23573709720402,2.27803187465187e-05,0.00523246398285423
"7","ENSG00000038295","TLL1",7.07188601578385,1.77493091674025,0.553479689762114,3.56365984639384,0.000365719816552744,0.0422335668816876
"8","ENSG00000038427","VCAN",46938.1330976753,0.991942978207312,0.241571889692035,4.10559718670754,4.03271688063149e-05,0.00818367458630674
"9","ENSG00000061337","LZTS1",1227.11736995466,-1.8607131298489,0.562673658139924,-3.52524398843857,0.000423092910176062,0.0472913797245992
"10","ENSG00000064042","LIMCH1",2758.79319359757,2.89785881814021,0.427167631965302,6.75396319845422,1.4386025487277e-11,2.73360640668239e-08
"11","ENSG00000064225","ST3GAL6",130.379294887733,2.38478836793057,0.392612532128902,6.04541103686333,1.49029566178944e-09,1.63948210119594e-06
"12","ENSG00000070193","FGF10",18.7399212866931,2.67053523770004,0.557134845642867,4.53513564335478,5.75664765403011e-06,0.0016045709669781
"13","ENSG00000074410","CA12",5710.96220390868,-1.23775228431598,0.320077288227294,-3.86959380470422,0.000109016831199072,0.016632626319146
"14","ENSG00000076706","MCAM",3196.64360361293,-1.91334036003983,0.557109633961586,-3.63174826078607,0.000281507663429156,0.0346121951823307
"15","ENSG00000078018","MAP2",768.100499818149,2.8010478353222,0.539047087574854,5.15316654334393,2.56124307832885e-07,0.000116380658311369
"16","ENSG00000079462","PAFAH1B3",436.247820764888,-1.33835145095076,0.376377692084195,-3.55929262841548,0.000371855017948282,0.0427061185997527
"17","ENSG00000080823","MOK",1269.58022629481,-1.68616997026453,0.211422134513299,-7.97318347842261,1.54638331172798e-15,1.07741679939128e-11
"18","ENSG00000082497","SERTAD4",599.363372015791,2.00344469176664,0.472873203612512,4.21322099547605,2.51754519093614e-05,0.00548143016468199
"19","ENSG00000086289","EPDR1",391.049137142309,2.62998560361055,0.515068044489246,5.05837578436584,4.22842544313921e-07,0.000184130309609366
"20","ENSG00000091622","PITPNM3",932.988930562773,-1.91852114835227,0.573207578618359,-3.75906959512269,0.00017054639679664,0.0231477973106712
"21","ENSG00000099260","PALMD",150.042030947834,1.81878773098301,0.399814008004938,4.53510517215537,5.75747883089452e-06,0.0016045709669781
"22","ENSG00000099365","STX1B",241.6729062785,-1.38347410720766,0.364510423225227,-3.79531703520938,0.000147454906311656,0.0209666833450765
"23","ENSG00000099864","PALM",741.782992396116,2.79737288760083,0.528930307924226,5.24394089100529,1.57182573681534e-07,7.64053524439866e-05
"24","ENSG00000100181","TPTEP1",41.2935527515062,-1.85294656251299,0.576696417237385,-3.7704953606123,0.000162923831504154,0.0224041705664463
"25","ENSG00000101017","CD40",127.433051529531,-2.31175704869128,0.529160951408688,-4.46679235293878,7.94011300558798e-06,0.00204894125978765
"26","ENSG00000101134","DOK5",1291.74104926953,1.46614151172777,0.403250194581448,3.62836904869519,0.000285217357360481,0.0348632351084723
"27","ENSG00000101605","MYOM1",57.9766422721405,1.69414555405029,0.41825220925617,4.03463869376095,5.46863807400464e-05,0.0101155285860925
"28","ENSG00000102109","PCSK1N",37.3238335990979,2.72464435701917,0.532696705796707,4.98363152118001,6.24018632913817e-07,0.000266188519697237
"29","ENSG00000102575","ACP5",191.496681548647,-2.40351748048315,0.457893084743303,-5.26629515579967,1.39204413127903e-07,6.92773962666529e-05
"30","ENSG00000103034","NDRG4",397.17253515184,-1.76737511963201,0.495360310791755,-3.6095181764357,0.000306766279055459,0.0370637500856486
