Geneid	HH07	HH17	HH18	HH19	HH27
ENSG00000067606.16	50	15	6	21	13
ENSG00000271806.1	0	0	0	2	0
ENSG00000182873.5	102	123	50	46	45
ENSG00000162585.16	3714	3146	2409	2762	2071
ENSG00000234396.3	4	6	4	2	0
ENSG00000157933.9	10790	8440	7087	5604	6755
ENSG00000116151.13	414	484	283	330	237
ENSG00000272161.1	0	1	0	0	0
ENSG00000269896.2	25	131	38	72	37
ENSG00000272420.1	2	2	6	8	1
ENSG00000157916.19	8216	7049	7159	5863	6118
ENSG00000157911.10	1570	1170	1027	978	1066
ENSG00000149527.17	12	20	18	5	8
ENSG00000224387.1	0	0	0	0	0
ENSG00000229393.1	0	0	0	0	0
ENSG00000157881.13	1633	1167	1155	928	1065
ENSG00000197921.5	0	0	4	2	0
ENSG00000272449.2	6	11	30	6	8
ENSG00000238164.6	16	32	19	26	0
ENSG00000157873.17	569	1205	1510	948	315
ENSG00000225931.3	1	1	2	0	0
ENSG00000228037.1	1	0	0	2	0
ENSG00000157870.15	2332	1136	1338	1099	1859
ENSG00000142606.15	0	0	0	0	0
ENSG00000237058.1	0	0	0	0	0
ENSG00000215912.12	22	36	22	39	6
ENSG00000285945.1	0	0	0	0	0
ENSG00000283259.1	0	0	0	0	0
ENSG00000233234.1	0	0	0	0	0
ENSG00000231630.1	0	0	0	0	0
ENSG00000284745.1	0	0	0	0	0
ENSG00000169717.6	0	0	0	0	0
ENSG00000177133.10	25	38	7	6	2
ENSG00000142611.16	216	357	43	116	56
ENSG00000283572.1	0	0	0	0	0
ENSG00000226286.1	0	0	0	0	0
ENSG00000279839.1	0	0	0	0	0
ENSG00000272235.1	16	10	7	4	0
ENSG00000130762.14	50	10	4	8	53
ENSG00000272088.1	10	0	1	0	1
ENSG00000162591.15	8820	9875	5553	8399	9135
ENSG00000207776.1	0	0	0	0	0
ENSG00000238260.1	22	28	22	31	27
ENSG00000158109.14	5221	4697	4840	4058	3994
ENSG00000116213.15	825	949	846	759	676
ENSG00000078900.14	3	0	2	6	2
ENSG00000227589.1	0	0	0	0	0
ENSG00000235131.1	0	0	0	0	0
ENSG00000227372.12	1666	2443	1584	1290	1341
ENSG00000276189.1	0	0	0	0	0
ENSG00000162592.9	0	0	0	0	0
ENSG00000235169.8	4	7	0	2	6
ENSG00000130764.9	3075	2491	2225	2016	1977
ENSG00000266075.2	5	3	0	4	2
ENSG00000272153.1	45	41	21	48	34
ENSG00000116198.12	2676	2477	2043	1637	1970
ENSG00000169598.15	290	309	297	245	337
ENSG00000198912.10	1612	1306	1410	1148	1230
ENSG00000236423.5	15	27	71	21	13
ENSG00000233304.6	0	0	0	0	0
ENSG00000226374.2	0	0	0	0	0
ENSG00000284668.1	0	0	0	0	0
ENSG00000284703.1	0	0	0	0	0
ENSG00000229280.1	0	0	0	0	0
ENSG00000235054.3	0	0	0	0	0
ENSG00000284694.1	0	0	0	0	0
ENSG00000227169.2	0	0	0	0	0
ENSG00000232596.2	0	0	0	0	0
ENSG00000196581.10	24	0	0	0	26
ENSG00000284739.1	0	0	0	0	0
ENSG00000284674.1	0	0	0	0	0
ENSG00000231510.1	0	0	0	0	0
ENSG00000284616.1	0	0	0	0	0
ENSG00000284692.2	0	0	0	0	0
ENSG00000284666.1	0	0	0	0	0
ENSG00000260972.1	0	0	0	0	0
ENSG00000283356.1	0	0	0	0	0
ENSG00000236948.2	0	0	0	0	0
ENSG00000264341.1	0	0	0	0	0
ENSG00000264101.1	0	0	0	0	0
ENSG00000131697.17	1302	691	637	638	704
ENSG00000069424.14	943	431	718	496	333
ENSG00000116254.17	30	6	8	8	22
ENSG00000285629.1	0	0	0	0	0
ENSG00000116251.10	4188	5584	4588	4614	4116
ENSG00000226944.1	18	3	7	6	10
ENSG00000158286.12	172	367	423	289	241
ENSG00000116237.15	15311	9755	8682	6663	7693
ENSG00000225077.3	32	7	9	11	4
ENSG00000173673.7	0	8	0	0	0
ENSG00000158292.6	611	1886	973	1543	142
ENSG00000097021.19	4254	1481	1624	1109	2212
ENSG00000271746.1	0	0	0	0	0
ENSG00000069812.11	2	12	8	4	2
ENSG00000187017.16	4	4	2	2	0
ENSG00000265392.1	0	0	0	0	0
ENSG00000231868.1	0	0	0	0	0
ENSG00000215788.10	133	335	267	158	189
ENSG00000171680.21	810	1301	1276	730	968
ENSG00000162408.10	2249	1654	1249	1186	1195
ENSG00000253022.1	0	1	0	0	0
ENSG00000229519.2	9	18	4	9	9
ENSG00000173662.20	16	14	7	0	6
ENSG00000204859.12	761	669	578	488	482
ENSG00000162413.16	5536	6024	5842	4073	5698
ENSG00000116273.5	2425	2452	1818	1450	2193
ENSG00000041988.15	768	807	731	546	535
ENSG00000007923.15	3109	2181	2035	1607	2337
ENSG00000228750.6	0	0	0	0	0
ENSG00000284744.1	0	0	0	0	0
ENSG00000237436.1	34	18	11	7	3
ENSG00000171735.18	2554	1836	1789	1822	2172
ENSG00000227950.1	0	0	0	0	0
ENSG00000237365.1	0	0	0	0	0
ENSG00000207056.1	0	0	0	0	0
ENSG00000237402.1	0	0	0	1	0
ENSG00000237728.2	0	0	0	0	4
ENSG00000225126.1	0	0	0	0	0
ENSG00000270171.1	0	0	0	0	0
ENSG00000270035.1	0	0	0	0	0
ENSG00000269978.1	0	0	0	0	0
ENSG00000049245.12	10772	8809	8976	7753	7280
ENSG00000269925.1	40	36	11	18	33
ENSG00000049246.14	1746	748	537	691	796
ENSG00000236266.1	13	7	12	14	5
ENSG00000049247.13	0	0	0	0	1
ENSG00000049249.8	2	0	0	0	2
ENSG00000270330.1	0	0	0	0	0
ENSG00000116288.12	19522	14708	14177	12861	15741
ENSG00000200344.1	0	0	0	0	2
ENSG00000284747.1	25	29	25	24	2
ENSG00000284716.1	0	4	0	0	1
ENSG00000116285.12	4247	2364	2509	1310	1677
ENSG00000238290.1	2	6	18	5	0
ENSG00000232848.1	0	0	0	0	0
ENSG00000229305.1	0	0	0	0	0
ENSG00000227634.2	0	0	0	0	0
ENSG00000200975.1	0	0	0	0	0
ENSG00000233645.1	0	0	0	0	0
ENSG00000251977.1	0	0	0	0	0
ENSG00000162426.14	71	79	64	71	61
ENSG00000252254.1	0	0	0	2	0
ENSG00000142599.17	7582	8986	5776	4825	5369
ENSG00000232912.5	3	1	4	3	1
ENSG00000221083.1	0	0	0	0	2
ENSG00000270282.1	0	0	0	0	0
ENSG00000234619.1	0	0	0	0	0
ENSG00000224315.2	0	0	0	0	0
ENSG00000222511.2	0	0	0	0	0
ENSG00000226545.1	0	0	0	0	0
ENSG00000228423.2	0	0	0	0	0
ENSG00000229716.2	0	0	0	0	0
ENSG00000074800.15	150700	69649	77633	65168	101114
ENSG00000274258.1	0	0	0	0	0
ENSG00000230679.1	6	0	4	4	3
ENSG00000201725.1	0	0	0	0	0
ENSG00000238249.2	5	0	3	0	0
ENSG00000232208.2	2	0	0	0	2
ENSG00000232663.2	0	0	0	0	0
ENSG00000131686.14	0	0	0	0	0
ENSG00000265141.2	0	0	0	0	0
ENSG00000197241.3	0	0	0	0	0
ENSG00000142583.17	16	22	18	26	4
ENSG00000252404.1	0	0	0	0	0
ENSG00000180758.11	333	218	183	129	210
ENSG00000228526.7	877	1368	1176	1191	714
ENSG00000284357.1	0	0	0	0	0
ENSG00000234546.3	106	209	207	105	84
ENSG00000049239.12	8590	9162	11631	8875	6107
ENSG00000171621.13	886	1069	1144	1045	1225
ENSG00000284652.1	6	8	0	2	2
ENSG00000284693.1	92	98	58	40	42
ENSG00000252956.1	0	0	0	0	0
ENSG00000235263.1	0	0	0	0	0
ENSG00000171612.6	830	769	571	543	774
ENSG00000231181.1	12	4	3	5	12
ENSG00000188807.12	1327	655	568	427	674
ENSG00000171608.15	842	952	748	895	2235
ENSG00000179840.5	0	0	0	0	0
ENSG00000233268.3	0	0	0	0	0
ENSG00000231789.2	42	50	24	55	87
ENSG00000171603.17	12469	11906	11809	8307	11211
ENSG00000271264.1	0	0	1	0	0
ENSG00000280113.2	0	2	2	0	0
ENSG00000178585.14	1219	912	795	710	921
ENSG00000223989.1	0	0	0	0	0
ENSG00000285701.1	2	1	4	0	0
ENSG00000162441.11	1880	1329	1158	1131	1296
ENSG00000228150.1	24	15	29	25	19
ENSG00000173614.13	1039	1130	958	833	649
ENSG00000202415.1	9	4	2	0	9
ENSG00000283611.2	3	0	5	2	2
ENSG00000265521.1	0	0	0	0	0
ENSG00000241326.1	0	0	0	0	0
ENSG00000162444.11	2	2	0	6	8
ENSG00000130939.18	4815	4540	3766	3733	4212
ENSG00000224340.1	0	0	0	0	0
ENSG00000233623.2	4	4	0	0	0
ENSG00000201746.1	4	4	0	0	4
ENSG00000054523.17	7879	4853	3739	5138	5598
ENSG00000264881.1	0	0	0	0	0
ENSG00000199562.1	2	2	0	1	6
ENSG00000264501.2	0	0	0	0	0
ENSG00000284735.1	6	11	4	14	8
ENSG00000284642.1	14	10	2	6	20
ENSG00000142657.20	8035	11682	9445	8055	17574
ENSG00000271989.1	0	2	0	0	2
ENSG00000251503.8	0	0	1	1	0
ENSG00000175279.21	146	48	57	58	68
ENSG00000241563.3	3	11	5	8	2
ENSG00000160049.11	4463	3669	2899	2570	2910
